,job_title,company,job_location,job_summary,post_date,today,job_salary,company_id,job_requirement,eligibility,experience_req
876,Data Analyst,Wipro Limited,"Pune, Maharashtra+2 locations","� Interpreting business requirements to designing, creating, and maintaining complex Data /Compliance reports using Microsoft Suite especially Microsoft Excel.",Posted11 days ago,2022-07-26,,877,"- Ensures efficient communication and information flow for BSC office;
- Maintains administrative filing;
- Manages logistics;
- Manages the reception area;
- Deals with incoming and outgoing mails;
- Answers incoming phone calls;
- Provides friendly customer service to clients and visitors;
- Provides translation and interpretation (English, Armenian, Russian).","The Alliance to Save Energy is an equal
opportunity employer. Applications will be held in strict confidence.",1 Year Job Exp.
879,Data Analyst,Mobile Programming LLC,"Bengaluru, Karnataka","Must have experience translating data into useful insights, strategy, and action; using visualization to aid in data storytelling to enable data-based decision…",EmployerActive 3 days ago,2022-07-26,"₹6,00,000 - ₹13,00,000 a year",880,"- Ensures consistency in MDF-Kamurj administration;
- Organizes logistics, communication, receiving and circulating
messages, receiving and dispatching mail, filing office documentation
and correspondence;
- Assists with document and verbal translations/interpretations;
- Conducts regular inventories of assets and consumables, ensures timely
delivery and receipt of documentation;
- Ensures that the MDF-Kamurj communication systems are reliable and
bills are paid on time;
- Supervises the support staff (receptionist, admin assistant, guards,
cleaners, drivers);
- Maintains petty cash operations and organizes timely procurement of
office equipment and supplies.","Qualified candidates with expert-level
skills",1 Year Job Exp.
880,Data Analyst,Irish Taylor & Co,"Hyderabad, Telangana","Manual data entry as needed to correct inconsistencies or fix gaps in existing data.,Focus on proactive maintenance of CRM data quality including company,…",Posted3 days ago,2022-07-26,"₹5,00,000 - ₹25,00,000 a year",881,"- Translate technical, IT/Telecommunications related, World Trade
Organization and/or trade, UN documents, legal, business, and technical
documents;
- Interpret at meetings and seminars where technical and international
telecommunications/trade terms will be used;
- Prepare materials for conferences/meetings (e.g., handouts, lecture
notes, and slides);
- Proofread and edit materials translated by self and others;
- Log and file documents in an organized manner;
- Work well under pressure and tight deadlines; 
- Coordinate with lead translator and other staff as appropriate.","Qualified candidates with expert-level
skills.",1 Year Job Exp.
882,Data Analyst,Market Expertise,"Pune, Maharashtra","Acquire data from primary or secondary data sources and maintain databases/data systems.,Acquiring data from primary or secondary data sources and maintaining…",Posted3 days ago,2022-07-26,,883,"Provides consulting services for BSC clients in
the following areas:
- Business plan writing;
- Market research;
- Consumers' preferences surveying;
- Financial planning and forecasting;
- Company strategy developing;
- Feasibility study.","The position is open to all candidates
with the relevant skills and experience.",1 Year Job Exp.
883,Data Analyst,Experian,"Mumbai, Maharashtra+1 location","Company Description Experian unlocks the power of data to create opportunities for consumers, businesses and society. We gather, analyze and process data in…",PostedJust posted,2022-07-26,,884,"- Designs, develops, implements, tests and writes documentation for
software modules and systems produced by the company;
- Provides technical support via e-mail and Internet to users of the
software products;
- Co-maintains the company's internal development environment.",Environmental NGOs of Armenia,1 Year Job Exp.
884,Data Analyst Ecommerce,Panworld,"Delhi, Delhi","Acquiring data from primary and secondary data sources and maintaining databases/data systems.,Previous experience in data analysis.",PostedToday,2022-07-26,"₹18,000 - ₹40,000 a month",885,"- Ensures consistency in MDF-Kamurj administration;
- Organizes logistics, communication, receiving and circulating
messages, receiving and dispatching mail, filing office documentation
and correspondence;
- Assists with document and verbal translations/interpretations;
- Conducts regular inventories of assets and consumables, ensures timely
delivery and receipt of documentation;
- Ensures that the MDF-Kamurj communication systems are reliable and
bills are paid on time;
- Supervises the support staff (receptionist, admin assistant, guards,
cleaners, drivers);
- Maintains petty cash operations and organizes timely procurement of
office equipment and supplies.","The position is open to all candidates
with the relevant skills and experience.",1 Year Job Exp.
885,Data Analyst,Absolut data,"Technopark, Kerala","Analyze the application data and recommend data quality rules.,Identify data quality metrics and execute data quality audits to benchmark the state of data…",EmployerActive 5 days ago,2022-07-26,"₹5,50,000 - ₹7,50,000 a year",886,"- Ensures efficient communication and information flow for ACRA office;
- Maintains administrative filing;
- Manages logistics;
- Manages the reception area;
- Deals with incoming and outgoing mails;
- Answers incoming phone calls;
- Provides friendly customer service to clients and visitors;
- Provides translation and interpretation (English, Armenian, Russian).",Pupils,1 Year Job Exp.
886,OLM Analyst - Data & Analytics,Shell,"Bengaluru, Karnataka",This position is also responsible for building visualization and analytics solutions to present data in a graphical or pictorial format to help people…,Posted3 days ago,2022-07-26,,887,"- Shelving;
- Distribution of advertising materials;
- Pricing;
- Penetration.",Everyone,1 Year Job Exp.
887,Operational Risk Analyst,Commonwealth Bank,"Bengaluru, Karnataka","To help us deliver on The Group’s purpose, Customer Service Direct’s Risk team is focused on supporting the business achieve its objectives through simplifying…",Posted3 days ago,2022-07-26,,888,"- Sales;
- Distribution;
- Merchandising;
- Financial follow-up.",Everyone,1 Year Job Exp.
888,Data Analyst,Code Brew Labs,"Chandigarh, Chandigarh","Use statistical methods to analyze data and generate useful business reports.,Work with departmental managers to outline the specific data needs for each…",Posted3 days ago,2022-07-26,,889,"To take care of the office on there own some
times, work under there own supervision, be self motivated to keeping
the office in good order and file papers correctly. Have good
communication skills with customers by phone and in person.",Everyone,1 Year Job Exp.
890,Research and Data Analyst,Special Blasts Ltd,"Raipur, Chhattisgarh","The analyst must be well versed with Microsoft Excel, should be able to make technical and financial analysis of companies following IND AS, IFRS and US GAAP.",EmployerActive 3 days ago,2022-07-26,"₹25,000 - ₹50,000 a month",891,"- Sales;
- Distribution;
- Merchandising;
- Financial follow-up.","Technical eligibility requirements:
Competition for the Eurasian Undergraduate Exchange Program is
merit-based and open to anyone who:
- Is a citizen, national or permanent resident qualified to hold a valid
passport issued by the country of Armenia, Azerbaijan, Belarus, Georgia,
Kazakhstan, Kyrgyzstan, Moldova, Russian Federation, Tajikistan,
Turkmenistan, Ukraine, or Uzbekistan;
- Is enrolled as a first-, second- or third-year full-time undergraduate
student at the time of application at a registered academic institution
in one of the 12 eligible Eurasian countries and in good academic
standing.  Third year students must be enrolled in a five-year program
at their home university or institution and will be required to submit a
spravka stating enrollment status and program year if selected as a
semifinalist.  Part-time students (for example, zaochno or
correspondence students) are not eligible;
- Was born between November 12, 1983 and July 1, 1987;
- Submits a complete original application with two copies by the
application deadline;
- Is able to begin the academic exchange program in the United States in
the summer of 2005;
- Is able to receive and maintain a US J-1 visa.",1 Year Job Exp.
892,Data Engineer / Data Analyst,Morgan Stanley,"Mumbai, Maharashtra","2-5 years experience as a data analyst, data engineer, data scientist, business analysis or related quantitative analyst.",Posted3 days ago,2022-07-26,,893,"- Achieve assigned outlet coverage targets by creating and executing
efficient routing;
- Achieve distribution targets in assigned territory;
- Achieve display's target in assigned territory;
- Achieve sales volume target in assigned territory.",All qualified,1 Year Job Exp.
897,PRMA Analyst,HealthMinds Consulting Pvt. Ltd,"Bengaluru, Karnataka","Expect similar data files for conjoint analysis and monadic designs as well.,Please see attached file for a sample of the data file.,Scope of work in the MSA*.",EmployerActive 4 days ago,2022-07-26,"₹6,00,000 - ₹9,00,000 a year",898,"- Distribution & Display of all Mars products on the assigned
territory.
- Cover 150 outlets.
- Responsible for sales volume about $10.000 - $20.000 per month.
Distributor's associate.
- Achieve assigned outlet coverage targets by creating and executing
efficient routing. 
- Achieve distribution targets in assigned outlets.
- Achieve display's target in assigned outlets.
- Achieve sales volume target in assigned outlets.
- Increase distribution of Mars products on assigned territory.
- Increase number of displays on assigned territory.
- Increase number of directly supplied outlets on assigned territory.
- Increase calls rate.
- Increase average volume per day on assigned territory.",Everyone,1 Year Job Exp.
898,Data Analyst,Spectrum Infra Ventures Pvt. Ltd.,"Delhi, Delhi","Ø Strong analytical skills and ability to interpret data.,Ø Ability to communicate strategic information, data, and results in a clear and understandable manner…",PostedToday,2022-07-26,"₹8,000 - ₹15,000 a month",899,"The following functions particularly describe the
basic duties and responsibilities of the position but are not all
inclusive:
- Document project activities, set up and maintain project files;
- Provide information gathering, research and preparing statistics;
- Prepare training materials and participant sign-sheets, and draft
requested reports;
- Make conference logistical arrangements;
- Maintain proper electronic and hard copy filing systems;
- Provide translation and interpretation from/into Armenian and
English;
- Answer phone calls, take messages, register all calls and visits;
communicate schedules, make photocopies for office needs;
- Arrange appointments for the site manager and other staff;
- Coordinate with other staff as necessary;
- Perform other project related duties as assigned by the manager.",Everyone,1 Year Job Exp.
899,Data Analyst,Impressico Business Solutions,"Noida, Uttar Pradesh","Review, monitor, and post financial transactions.,Account reconciliations using various financial systems.,Upload and download financial documents.",Posted7 days ago,2022-07-26,,900,"- Drive WV Armenia vehicle carefully providing the car logistical
reports to the supervisor on a monthly basis. 
- Keep WV Armenia  vehicles in good condition, take full responsibility
for their maintenance and security according to the Vehicle Use and
Maintenance Policy of WV Armenia.
- Provide WV Armenia with logistical support.
- Assist the Administrative Department in other tasks and assignments as
needed.",The jobholder must be living in Yerevan.,1 Year Job Exp.
900,Employee Data Analyst,Unilever,"Bengaluru, Karnataka","Own data accuracy and maintenance of the data in the system.,Execution of employee data activities, JML data maintenance and tier 1/2 case management.",Posted6 days ago,2022-07-26,,901,"The following functions particularly describe the
basic duties and responsibilities of the position but are not all
inclusive:
- Document project activities, set up and maintain project files;
- Provide information gathering, research and preparing statistics;
- Prepare training materials and participant sign-sheets, and draft
requested reports;
- Make conference logistical arrangements;
- Maintain proper electronic and hard copy filing systems;
- Provide translation and interpretation from/into Armenian and
English;
- Answer phone calls, take messages, register all calls and visits;
communicate schedules, make photocopies for office needs;
- Arrange appointments for the site manager and other staff;
- Coordinate with other staff as necessary;
- Perform other project related duties as assigned by the manager.",The jobholder must be living in Yerevan.,1 Year Job Exp.
901,Data Analyst,Dhwani Rural Information Systems,"Remote in Gurgaon, Haryana","Therefore, in order to query the data we need to pass the tenant id to get the data of the respective tenant.,Easy to migrate the data into new structure if any…",Posted20 days ago,2022-07-26,,902,"The Web Developer/ Programmer will be responsible
for writing scripts and programs, generating interfaces, integration of
Flash pages and maintaining our worldwide customers databases on daily
basis.",Social NGOs of Armenia,1 Year Job Exp.
902,Immediate Opening with Omnicuris For Data Analyst,Omnicuris Healthcare,"Bengaluru, Karnataka","Experience on using any of the data visualization tools like Tableau, Grafana, Google data studio is good to have.,From 2 to 5 year(s) of experience.",Posted18 days ago,2022-07-26,"₹3,00,000 - ₹6,00,000 a year",903,"The Web Designer will be responsible for creating
top quality web sites Flash presentations, interactive movies, and other
Flash enabled products for our worldwide customers.",Everybody,1 Year Job Exp.
903,Process and Data Analyst,Bosch Group,"Bengaluru, Karnataka","O data management (SQL database).,Execution and development of respective data analytics, incl.,Experience in respective IT-systems (e.g. SAP) or data analytics…",Posted27 days ago,2022-07-26,,904,"The essential duties and responsibilities of the
Computer Graphic Designer include developing concepts for advertisements
and projects, actual design and layout of all aspects of the project.
Essential elements include photos, clamshells, graphic elements,
rendering objects or elements to enhance the design, meeting deadlines,
giving advice and experience to co-workers, work with vendors on pricing
and production, and press-check necessary projects.","Applications are expected from the
institutional development training specialists.",1 Year Job Exp.
908,Data Analyst,DBS Bank,Maharashtra,"Support key business initiatives for data driven decisioning.,Automated data pipelines for business performance dashboards.",Posted6 days ago,2022-07-26,,909,"- Managing all financial matters of the NGO;
- Filing all reports in accordance with regulations;
- Interacting with NGO President, Director and other staff regarding
financial matters;
- Developing regular financial reports for internal management;
- Interacting with tax office and other appropriate government bodies;
- Researching new financial related laws to ensure absolute compliance.","Professional Translators of any
language.",1 Year Job Exp.
910,Sr. Data Analyst,Tech mahindra,"Hyderabad, Telangana","Perform data analysis, trend analysis.,To analyze, document and ensure the client requirements.,Elicit requirements using interviews, document analysis, site…",PostedToday,2022-07-26,,911,"- Welcome new clients;
- Present information on offered goods and services;
- Answer telephone calls;
- Manage the sales hall;
- Assist in clerical work of the office;
- Maintain the correspondence.",Everybody,1 Year Job Exp.
911,Data Analyst,MedTourEasy,"Delhi, Delhi","Proven working experience as a data analyst or business data analyst.,Acquire data from primary or secondary data sources and maintain databases/data systems.",Posted30+ days ago,2022-07-26,"₹8,25,000 - ₹8,75,000 a year",912,"- Market research;
- Distribution of advertising materials;
- Pricing;
- Penetration.",Everybody,1 Year Job Exp.
912,Business Intelligence Analyst-Permanent Remote,Lendingtree Research Services LLP,"Remote in Ahmedabad, Gujarat","Work with Data Scientists and Engineering partners to help shape and drive the development of data infrastructure for products/solutions, including data…",EmployerActive 3 days ago,2022-07-26,"₹3,50,946 - ₹14,61,765 a year",913,"Responsibilities include:
- Assisting the other staff (supervisors and coordinators) in their
daily operations;
- Conducting correspondence of the project;
- Maintaining files and records of the project activities;
- Doing interpretation and translations;
- Arranging and coordinating meetings with the counterparts and/or
clients;
- Receiving visitors, telephone calls, etc.;
- Coordinating supplies and services for the office;
- Performing other activities as prescribed by immediate supervisor.",Everybody,1 Year Job Exp.
913,Data & Technical Business Analyst,Vish Gyana Technology Solutions Private Limited,"Chennai, Tamil Nadu","To serve as an experienced, individual contributor on tasks and assignments that support and enhances Enphase product performance, durability, reliability and…",EmployerActive 5 days ago,2022-07-26,"₹1,80,000 - ₹8,65,221 a year",914,"Under supervision of Managing Director the
Receptionist will perform the following tasks: 
- Provide high quality written translations of documents and
correspondence from Armenian and Russian into English and vice versa
for
all programmes of the office;
- Arrange appointments and draft routine correspondence for company
staff;
- Maintain proper electronic and paper filing systems;
- Perform other related duties as requited.",Everyone,1 Year Job Exp.
914,Data Analyst,VIKAS STAINLESS STEEL INDIA PVT LTD,"Faridabad, Haryana","Developing and maintaining databases, data systems – reorganizing data in a readable format.,Performing analysis to assess the quality and meaning of data.",EmployerActive 4 days ago,2022-07-26,,915,"- Oversee daily operations of the access site;
- Schedule the users for open access hours and monitor the sessions of
various types of end-users including USG alumni and other targeted
groups identified by ECA demonstrating the technical and educational
applications of the Internet;
- Assist the Country Coordinator in the development of training
materials and curricula, Internet resources and local language on-line
development;
- Assist the Country Coordinator with collecting and systematizing IATP
user information, special events, success stories, and other statistics
as requested by IREX;
- Assist the Country Coordinator in the development and implementation
of program outreach and related initiatives to foster active
participation in the program by targeted audiences; 
- Assist the Country Coordinator in the oversight of IREX/IATP
initiatives such as web chats, PDO trainings, and publicity and program
news gathering;",Young lawyers and advocates.,1 Year Job Exp.
915,Data Processing Analyst,Rubrix Analytics Private Limited,"Remote in Ernakulam, Kerala",We are looking for a Data Processing Analyst who will act as a liaison between the our team and the client assisting in their day to day operations.,Posted2 days ago,2022-07-26,"₹10,000 - ₹18,000 a month",916,"- Design furniture
- Assure quality",Everyone,1 Year Job Exp.
916,Data Analyst,Smiths Group,"Bengaluru, Karnataka","Defining new data collection and analysis processes.,A good understanding of data Security and privacy technologies.",Posted5 days ago,2022-07-26,,917,"The selected person is requested to fulfill the
following:
- Teach the subjects followed up with the third-forth grade of level at
school (British Educational System). 
- Advanced teaching of Armenian Language.","Professional teachers of the Italian
language.",1 Year Job Exp.
918,Data Analyst,BenoGroup,"Ghaziabad, Uttar Pradesh","Support management team and the Heads of Department with data-driven analysis.,The financial data will be provided to be formulated into a representational…",Posted30+ days ago,2022-07-26,"₹30,000 - ₹40,000 a month",919,"The incumbent will perform the following duties:
- Assist the COAF Executive Director in the management of project
activities, preparation of technical papers, reports, project updates,
and verbal/written briefings related to the program;
- Assist the COAF Executive Director in conceiving and managing program
monitoring;
- Liaise with relevant Ministries, programs, international and local
counterparts;
- Gather, enter, and/or update data to maintain project records and
databases, as appropriate;
- Provide translation of business correspondence and other documents;
- Perform any other duty related to Program as required by COAF
Executive Director.","Professional teachers of the Italian
language.",1 Year Job Exp.
920,Data Analyst,Meritech Software Private Limited,"Mohali, Punjab","HH Drive test tool knowledge ( AZQ).,Good RF knowledge ( 5G/4G).,Minimum one year network testing exp.,Mohali, Mohali - 160062, Punjab: Reliably commute or…",EmployerActive 4 days ago,2022-07-26,"₹20,000 - ₹30,000 a month",921,"Performs guard duties on a regular or rotating
shift in any one of several assignments located in the main or component
building. Controls access to the building or ground insuring that only
authorized personnel enter. Maintain a log of all entrants including
license numbers of cars. 
A copy of the complete position description listing all duties and
responsibilities is available in the Human Resources Office.  Contact
number: (3741) 52-46-61.
NOTE:  ALL APPLICANTS WHO ARE NOT THE FAMILY MEMBERS OF USG EMPLOYEES
OFFICIALLY ASSIGNED TO POST AND UNDER CHIEF OF MISSION AUTHORITY MUST BE
RESIDING IN COUNTRY AND HAVE THE REQUIRED WORK AND/OR RESIDENCY PERMITS
TO BE ELIGIBLE FOR CONSIDERATION.",Everybody,1 Year Job Exp.
923,Junior Data Analyst,Fireblaze AI School,"Nagpur, Maharashtra","Excellent understanding of data visualization, data storytelling, and how to think about data problems in a business context and solving them using Machine…",EmployerActive 4 days ago,2022-07-26,"₹2,00,000 - ₹3,00,000 a year",924,"Puppet director will organize and oversee all
aspects of the production of puppet shows, including the development of
puppet characters, work with artists and puppet makers, puppet masters,
set designers, musicians and scriptwriters. Puppet Director will work
closely with CTEP Coordinators and local TV stations involved in
production of shows.",Everybody,1 Year Job Exp.
925,Master Data Analyst,Bacardi,"Gurgaon, Haryana","As masterdata analyst you will be responsible for local data input within the market/plant as part of the dedicated set of Global Master Data policy, procedures…",Posted20 days ago,2022-07-26,,926,"- Managing all financial matters of the School;
- Filing all reports in accordance with QSI International and Armenian
regulations;
- Reporting directly to the Director and Interacting with other staff
regarding financial matters;
- Designing Summary/ Entry Sheets and Developing regular financial
reports for internal/ QSI International management;
- Interacting with tax office and other appropriate government bodies;
- Researching new financial related laws to ensure absolute compliance.",All,1 Year Job Exp.
926,Data Analyst,Deevaz,"Dwarka, Delhi, Delhi","Should have knowledge of creating reports.,Are you proficient in MS Excel.",EmployerActive 5 days ago,2022-07-26,"₹10,998 - ₹38,409 a month",927,"- Coordinate the obtaining and/or development/adaptation of MMT related
guides and protocols during the start-up phase. 
- Developing, pre-testing and applying new training materials strategies
and plans for increasing and promoting overall program effectiveness and
efficiency
- Support the MMT Manager in  the implementation of all MMT program
activities in assigned sites according to the Program Implementation
plan.
- Provide technical monitoring for respective MMT activities
- Together with responsible team members develop and communicate
developed materials, approaches and strategies to responsible staff in
the field staff trough sharing sessions, round table discussions,
outreach and formal trainings.
- Liaise between MMT field staff, local partners field staff, target
beneficiaries and WV Armenia National Office staff involved in the
program implementation, management and oversight. 
- Working in close relationship with SAMSA MMT Officer, World Vision
Community Monitors and MMT Assistants
- Coordinate and facilitate data collection, analysis and management.
- Assist MMT Project Manager and WV Armenia assigned Program Officer in
developing technical reports 
- Nurture working relationship with the local and national health
authorities, NGOs, medical community, stakeholders and other
counterparts related to the field of Primary Health Care. 
- Any other duties as required by the MMT Manager",All,1 Year Job Exp.
927,Data Analyst,Boston Consulting Group,"New Delhi, Delhi","Apply techniques such as data gathering, data mapping, benchmarking, trend analysis and charting to provide observations, and actionable insight.",Posted13 days ago,2022-07-26,,928,"Under overall supervision of the Protection
Officer, the incumbent performs the following duties: 
- Receives individual cases approaching UNHCR, provides counseling to
the cases, follows them up and reports to the Protection Officer; 
- Assists the Protection Officer to monitor and participate in refugee
status determination (RSD); 
- Ensures timely provision of accurate RSD data; 
- Translates protection related documents. May attend meetings with
members of the Protection Unit and provide interpolation during these
meetings; 
- Provides clerical support to the Associate and Assistant Protection
Officers in support of their functions; 
- Drafts correspondence to authorities and NGOs on protection issues; 
- Maintains and updates individual case filing and general unit filing;
- Performs other duties as required",Everybody,1 Year Job Exp.
928,Data Analyst,Artoon Solutions Pvt. Ltd.,"Surat, Gujarat","Use statistical methods to analyze data and generate useful business reports.,Work with departmental managers to outline the specific data needs for each…",EmployerActive 3 days ago,2022-07-26,,929,"- The individual will be responsible for designing, developing,
applying, and maintaining test systems and quality standards for company
products. 
- Developing and executing software test plans.","Any national legally residing in
Armenia. The company employs both male and female staff.",1 Year Job Exp.
929,Data Analyst,DIGITAL DESIGN TECHNOLOGY,"Gurgaon, Haryana","Experience in research, data analysis, MIS and data management Skills.,Drive compliance resolution of invalid, incomplete, or inaccurate data content *Determine…",PostedToday,2022-07-26,"₹2,64,000 - ₹3,00,000 a year",930,"Responsible for design, development, application
and maintainance of test systems.",All,1 Year Job Exp.
930,ERP Reporting/Data Analyst,Vienna IT Solutions Pvt. Ltd.,"Mohali, Punjab","Data Modelling for Business Intelligence Reporting, which will include Designing data warehouse as per business needs.,Conducting troubleshooting on BI models.",EmployerActive 4 days ago,2022-07-26,,931,"Responsible for design, development, application
and maintainance of test systems.",Everybody,1 Year Job Exp.
931,Data Analyst,Ex Libris,"Bengaluru, Karnataka","The person will be responsible to understand customer needs from sales and marketing, run analysis on product consumption and other data sets and provide data…",Posted10 days ago,2022-07-26,,932,"Responsible for design, development, application
and maintainance of test systems.",Everybody,1 Year Job Exp.
932,Data Analyst / BI Developer,"Owens Asia, Inc..","Thane, Maharashtra","Provide technical expertise on data storage structures, maintenance, data mining, and data cleansing.,This includes data mining from different sources and data…",Posted8 days ago,2022-07-26,,933,"Responsible for design, development, application
and maintainance of software systems.",Everyone Interested,1 Year Job Exp.
933,Data Analyst,Bigbang HR Advisors,"Mumbai, Maharashtra","Ensure daily onboarding and dealer support management of partners for plan sales.,Dealer support for Retail Partners and one point POC for OEM plans.",PostedJust posted,2022-07-26,"₹1,85,348 - ₹5,00,000 a year",934,"Responsible for design, development, application
and maintainance of software systems.",All qualified candidates,1 Year Job Exp.
934,Data Analyst,BT,"Bengaluru, Karnataka","Deep data landscaping and analysis experience typically simplifying data sources and delivering automated capabilities across finance, operations and resource…",Posted9 days ago,2022-07-26,,935,"- Lead or support financial analysis and special projects as assigned.
- Maintain, distribute and improve CI-Wide financial reports. 
- Maintain CI-Wide and Finance department measures. 
- Provide day-to-day financial reporting and analysis support to CI
program staff. 
- Support manager as the functional applications point of contact within
finance and the primary interface with IT. 
- Serve as primary point of contact within finance to support the
development of proposal budgets and review of financial reports to
private donors (Individuals, Corporations, and Foundations).
- Assemble and create training materials on financial management and
analysis, and assist manager with implementation of training plan.",All qualified candidates,1 Year Job Exp.
935,Data Analyst,Indigifts Pvt. Ltd.,"Jaipur, Rajasthan","Analysis of daily sales and entering the data in the relevant sheets ensuring all data is in place and reach to be looked into.,Total work: 1 year (Preferred).",EmployerActive 3 days ago,2022-07-26,"₹18,000 - ₹22,000 a month",936,"- Review, digest and advise on legislative developments and their
possible impact on the activities of AREGAK micro credit program. 
- Review and advise on the legal aspects of lending polices and
procedures. 
- Drafting of standard and none-standard legal documents (procedures,
contracts, replies on various regulatory inquires). 
- Act as an attorney of the organization with the respective entities. 
- Performing other duties and responsibilities as assigned.",All qualified candidates,1 Year Job Exp.
936,Business Data Analyst - Bancassurance,24x7 Corporate Solutions India Pvt Ltd,"Kochi, Kerala",Provide timely business analytical solutions to enable data – driven decisions to support sales team in achieve the organisational goals.,EmployerActive 4 days ago,2022-07-26,"₹15,00,000 - ₹20,00,000 a year",937,"Manages maintenance and consolidation process;
creates/implements best practices for foreign exchange issues, cash
advances to field, closing process, reconciliation of due to/due from
accounts and gains and losses due to currency fluctuations.",To all qualified candidates,1 Year Job Exp.
937,Data Analyst,Discover WebTech Private Limited,"Indore, Madhya Pradesh","Top notch Google Sheets skills.,Excellent programming skills in Python with prior knowledge of Pandas, Numpy, Matplotlib, Seaborn.",EmployerActive 3 days ago,2022-07-26,"₹6,00,000 a year",938,"He or she coordinates and provides direction for
a growing team of advocates in New York, Washington, Brussels, London,
Geneva, and, soon, Toronto and possibly Berlin to address issues in some
70 countries where HRW regularly works.
The Global Advocacy Director helps to conceptualize and implement
strategies for transforming HRW's investigations and reports into
concrete improvements in human rights practices, including by enlisting
the influence of sympathetic governments, international institutions
such as the United Nations and the World Bank, other regional
institutions, other NGOs, the private sector, HRW members, and the
general public.
He or she also helps to shape HRW's research agenda by identifying
opportunities for impact. In addition, the Global Advocacy Director is a
key organizational spokesperson, among those who represent HRW before
the press, government officials, and the public. The Global Advocacy
Director is a member of HRW's Senior Management Team and part of HRW's
Program Office.",All qualified persons.,1 Year Job Exp.
945,Data Analyst,Otipy,"Gurgaon, Haryana","Create processes and methods to gather data.,Analyze data to identify issues and suggest improvements.,Identify cost-effective delivery modes and schedules.",Posted30+ days ago,2022-07-26,,946,"The main responsibility is to secure the amount
of the hotel reservations by creating warm, friendly relationships with
business partners like: Tour agencies, Embassies, Consulates, Int.
organizations etc.",All qualified candidates,1 Year Job Exp.
947,Data Analyst I,Intercontinental Exchange,"Remote in Hyderabad, Telangana","Identify data quality issues, recommending procedural and technical changes to improve productivity and data quality for ICE Data Services;",Posted10 days ago,2022-07-26,,948,"- Bookkeeping, 
- Financial planning, 
- Department management","All medical students of the Yerevan
State Medical University after Mkhitar Heratsi.",1 Year Job Exp.
948,Data Analyst,Schneider Electric,"Bengaluru, Karnataka","Use ETL tool to process data from various data silos.,Experience with data visualization tools such as Tableau.,Proficient in MS Access, Excel, PowerPoint.",Posted26 days ago,2022-07-26,,949,"The work scope of the Local Information Officer
will involve the activities 
below however it is not limited only to the activities listed below. 
The 
Local Information Officers will be responsible for providing any support
and 
assistance as requested by the Contractor or the Team Leader of the
project.
- Reporting to Team Leader and Contractor (EIR Development)
- Assist in setting-up meetings, interviews and any other logistical
support 
required for the project team visiting the respective country.
- Assist in identification of target groups. 
- Collect up-to-date information on Tacis projects being implemented in
their 
respective country.
- Establish and maintain the contacts with Local Information Providers,
Tacis 
Project Teams, Delegations of the European Commission, Europa Houses, in
other words liaise with the Tacis Programme stakeholders and other
possible 
sources of information. This will be conducive to providing the project
team 
with first-hand and trustworthy information.
- Network with other officers in the region in order to have well co-
ordinated inputs and maintain a general overview.
- Submission of regular progress reports to Team Leader in accordance
with 
the reporting schedule of the project and as requested by the Team
Leader.
- Submission to the Contractor of monthly timesheets along with a
written 
report on description of activities on time spent per month.","MA graduate students, post-graduates of
Journalism, International Economics, International Relations
departments. FLEX graduates are most welcome to apply.",1 Year Job Exp.
949,Data Analyst,GREEN JEEVA LLC,"Bengaluru, Karnataka","Build proactive data validation automation to catch data integrity issues.,Strong ability to troubleshoot and resolve data issues.",EmployerActive 3 days ago,2022-07-26,,950,"Under the direct supervision of IP Coordinator
the Assistant will: 
- Assist REC Caucasus IP Coordinator in implementing different tasks
derived from REC Caucasus programming objectives;
- Implement office management responsibilities as delegated by the REC
Caucasus IP Coordinator;
- Assist in REC Caucasus IP reporting to the REC Caucasus HQ and
Advisory Council and Board members;
- Participate and arrange logistics of the field trips and meetings
organized by REC Caucasus program departments and IP within national
boundaries of the respective country;
- Regularly and upon request, report to the REC Caucasus IP coordinator
as well as REC Caucasus Executive Director on the respected issues
related to assistants responsibilities;
- Upon request of REC Caucasus program officers, provide assistance to
them in the implementation of specific tasks within the national
boundaries of the respective country;
- Get in regular contact with REC Caucasus stakeholders and assist in
implementing current needs assessment, collection and summarization of
the information for REC Caucasus;
- Assist in dissemination of REC Caucasus information materials;
- Assist in maintaining and upgrading the REC Caucasus IP library;
- Involve new and work / cooperate with existing volunteers involved in
REC Caucasus IP operation;
- Implement other tasks as mandated by the REC Caucasus IP Coordinator.","US citizens or alumni of US government
exchange programs.",1 Year Job Exp.
