,job_summary
1012,"Strong understanding of data structures and algorithms.,3+ experience of industry experience in developing data science models and solutions."
1013,"Experience in data analysis (Statistical Analysis).,Hands-on on experience with data visualization tools.,Skills in Advance Excel, PowerPoint, Power BI, and MS…"
1014,"Adept at queries, report writing and presentation findings.,Strong analytical and problem-solving skills.,Strong in writing Complex SQL queries."
1015,"Acquiring data from internal as well as secondary data sources.,Cleaning and filtering data, assessing data quality and create concise end product."
1016,"Prior experience and knowledge of data visualization tools i.e. Power BI and Tableau is preferred.,Candidate should be able to aggregate, interpret complex data…"
1017,"Providing technical expertise in data storage structures, data mining, and data cleansing.,Work experience as a data analyst or in a related field."
1018,"Document database structures and define data elements to enable re-use of data.,Take ownership of our data and constantly improve its quality ."
1019,"Prior experience in managing and analyzing data.,Deep dive into data trends to identify root causes and improvement opportunities."
1020,"As a Business Process Analyst, you'll provide support on a variety of initiatives by analyzing existing processes, identifying process gaps, identifying areas…"
1021,"Should be able to perform data analysis and should have reporting skills.,O Makes timely and effective decisions by assessing risk, evaluating alternatives, and…"
1022,The EMS consultant monitors that all local stakeholders involved in the EMS work according to the processes of the Group EMS.
1023,"Analyses large data sets (we deal in millions of data point every day) and pull out actionable insights, business intelligence, and reports to show the impact…"
1024,"Build and deliver targeted and customisable dashboard reporting to present data in a manageable, understandable and usable way."
1025,"Prepare dashboards using data visualization and data wrangling tools.,O Well versed with data wrangling, ETL and data cleansing concepts."
1026,"Extensive experience with data visualization.,Excellent communicator with the ability to translate data into actionable insights.,Bachelor’s or Master’s degree."
1027,"Strong experience in managing a team of data, product, and business analysts.,Analyzes user needs to determine functional and cross-functional requirements and…"
1028,"Assetize data pipelines developed as to maximize re-usability of core components in other data initiatives.,Identify innovative data ingestion and preparation…"
1029,"Capturing the researched data on Excel sheet in required format.,PaymentUs leads the North American marketplace in electronic bill payment solutions and have…"
1030,"Bengaluru, Bengaluru - 560079, Karnataka: Reliably commute or planning to relocate before starting work (Required).,Total work: 1 year (Preferred)."
1031,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, database design development,…"
1033,Establish reporting and data display guidelines based on best practices to ensure consistent and appropriate use of data across the organisation.
1034,"Experience with SAS visual Investigator (VI) are advantage, Minimum 3 to 4 years’ experience in SAS with Banking Domain, Knowledge and experience in end-to-end…"
1035,"The target is to accurately input and maintain data to maintain the excellence of service that we deliver to our customers, providing maximum quality of data."
1036,"Backend validation for data completeness/correctness and performance.,Retail Customized Energy Solutions is looking for an Analyst with experience in X12/EDI…"
1037,"The Connected Services Division supplies software services to the mobile communications industry.,Intermediate skills of Python libraries (Numpy, Pandas, core…"
1038,"3+ years experience mining data as a data analyst.,Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that…"
1039,"Execute data intensive tasks and facilitate organization of data for reporting requirements.,Apply your technology skills in areas like programming applications…"
1040,"Analyze data and identify data pattern to bring data insight.,Build story around the data findings and explain in simple words.,R-4484 Data Analyst (Open)."
1041,"Support the sourcing of data into the Risk and Finance applications.,Monitor, track, and report on the timeliness and completeness of source data."
1042,"They should have curiosity on fundamental concepts including, but not limited to, key financial metrics & ratios, credit covenants & issuer plus security meta…"
1044,"Strong understanding of data management plans/customer specifications for data entry screens, edit checks, custom reports, and data integrations."
1045,"Support data quality issue & measures related activity in partnership with domain data.,Support annual attestation activities of critical data flows."
1046,"The candidate will be performing finance relate analysis and find, pattern, insights and values which we can provide to customers using Python, Power…"
1047,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, database design development,…"
1048,"Developing and maintaining databases and data systems – reorganising data in a readable format.,Developing and implementing data analyses, data collection…"
1049,"You will apply data science expertise to assure sustainable impact of ML solutions developed.,Identify proactive remedial strategies to prevent future data…"
1050,"Large Volume/Multiple Source - data conversion, data cleansing, report creation.,Perform Data validation to ensure accuracy and quality of data."
1052,"In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery…"
1053,"Document process ,data codes, data repository, data request , log book for audit and learning purpose.,Before sharing of any data (customer sensitive) ensure…"
1054,"Use data to create models that depict trends in the data and generate Insights.,Technical proficiency regarding database design development, data models,…"
1055,"Extract the customer data from various data sources.,Create a structured and well-defined data overview by analyzing the customer data from multiple sources."
1056,"Must go to the office daily.,Job Types: Full-time, Regular / Permanent.,Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting work …"
1057,"Effectively communicate with various internal stakeholders for data standard resolution.,Support Internal Audit and Regulatory requests with accurate data and…"
1058,"0-2 years experienced in data analysis, data modelling and business reporting, or.,Automatic Data validation and data compliance.,Key Objectives of the role:"
1059,"Ability to connect business problems / requirements & with available data & provide / suggest best design & solution.,This is an Individual Contributor Role."
1060,We are seeking a highly capable data quality analyst to develop procedures to enhance the accuracy and integrity of our organization's data.
1061,"Role/Job Title – Data Analyst-Turbo Cross Sell.,Function/Department - Turbo Cross Sell.,To understand the system enhancements required to better the existing…"
1062,"Break: * 15 min & 30 min ( Two Breaks ).,Fluency In English Speaking (Mandatory)*.,Strong analytical skills – Advanced Excel.,Total work: 1 year (Preferred)."
1063,"Ability to collect, organize, and display data in spreadsheet format.,Follow-through skills necessary to get information from internal and third parties and…"
1064,"Extract data from platforms using SQL.,Create various data processing systems for analytic research and development purposes."
1065,"This role is available at senior analyst level.,Acting as a point of contact for static data queries and requests."
1066,"Should understand Medical terminologies very well.*.,Should understand and write English without grammatical errors.*.,Should have BAMS Or BHMS Degree."
1067,"Pull and integrate data from disparate sources (e.g. cost and claims or clinical data).,Experience in data analysis and visualization methods."
1068,"Candidates will have superior working knowledge of Microsoft Excel / PowerPoint, including but not limited to: charts, formulas, queries, pivot tables, import /…"
1069,"The candidate will provide data upload and reporting insights, implementation of activities against data pulls, and help improve the quality of customer data."
1070,"Generate reports and analyze data regarding the overall performance on a weekly/monthly.,Monitoring calls/email/Chat transactions on daily basis."
1071,"Knowledge of data bases such as SQL, Oracle etc.,Experience in working on Mobile/Digital applications as a functional business analyst."
1072,"This Solution Specialist position is a data analyst role; an internally facing position on the Cvent Travel & Transient team.,VBA experience is a plus."
1073,Responsible to review the product from not just a technical perspective but also from the end user’s perspective • Analyze and independently identify often…
1074,"Advanced MS Excel skills- Proficiency in data validation, logical functions & ability to analyze data.,Fulfil the day-to-day operations (data maintenance) and…"
1075,"Developing and maintaining databases, data systems – reorganizing data in a readable format.,Performing analysis to assess quality and meaning of data."
1076,"Good knowledge on – Python and Pandas based data extraction, exploratory data analysis and data cleaning.,Trained/experienced in web data scraping."
1077,"The incumbent would be placed in the Corporate Accounting & Reporting department of the company and will be responsible for preparation of Financial Results,…"
1078,"BA/BS or equivalent related experience in statistics, data analysis, data mining.,Design and develop data visualization (Tableau)."
1079,The ideal candidate for this position is able to do complete life cycle data generation and outline critical information for each Project Manager.
1081,"Proven work experience as a data analyst (Min. 1 Year).,Acquiring data from primary or secondary data sources and maintaining databases."
1082,"Present information using different data visualization techniques.,Highly proficient using statistical computer languages (R, Python, SLQ, etc.) to manipulate…"
1083,Must have experience on- Data tables Data validation Statistical Analysis Dashboarding Experience across tools Excellent Communications Skills Should be able…
1084,Previous experience in delivering data-driven insights from initial data gathering and cleaning to analysis and visualization.
1085,The analyst will work across several products and remediation projects (i.e. regulatory requirements and control/risk related issues).
1086,"Reinforce data governance by monitoring adherence to operatoring procedures.,Using analytical skill and identify the source of potential abnormalities in data."
1087,"Must go to the office daily.,Job Types: Full-time, Regular / Permanent.,Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting work …"
1088,"Ability to work with large amount of data and model/visualize the data into presentable manner.,Helps lead the collection and analysis of data, manage reports,…"
1090,"Role To coordinate the collection validation analysis and reporting of environmental data.,Including ability to calculate analyze present data Experience of MS…"
1091,"The data analyst will connect, cleanse, maintain, report on, and evaluate data.,Addressing data quality issues, such as data gaps or biases in underlying data…"
1092,"Understand and define requirements using data and metrics to draw business insights.,Gather requirements by working closely with internal stakeholders including…"
1093,"Providing strategic insights on the business problems, helping resolve the same with data and analysis.,A firm believer in stats and can weave stories around…"
1094,"Role To coordinate the collection validation analysis and reporting of environmental data.,SQL and data visualization software like Tableau Qlikview or Power BI…"
1095,"Performs data analysis; reviews files and mapping fields between available data, document templates and Statement of Work.,Pre-Sales Phase and Feasibility*."
1096,"Graduate/Post Graduate candidate can apply.,Having good verbal and written communication skills.,Having Good Knowledge of MS-Excel."
1097,"Proficient with Microsoft Excel (including pivots, formulas, and macros) and PowerPoint efficiently to digest the data and correlate multiple data points."
1098,"Defining new data collection and analysis processes.,A good understanding of data Security and privacy technologies.,Cloud BI experience could be an asset."
1099,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Adequate knowledge of data collection, Data Extraction, Computer skills…"
1100,"Candidates with experience in data modelling and data engineering concepts will have an added advantage.,In this role, you’ll collaborate with business and…"
1101,"Comfortable working with large data sets and scripting language like JavaScript is a plus.,Apply broad functional and fundamental knowledge of supply chain…"
1102,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, database design development,…"
1103,"Conduct data audits as needed to preserve data integrity.,Facilitate data transformations, resolve data issues, and collaborate on system changes."
1104,"Prepare dashboards to track and organize various data.,A knack for making data-driven decisions.,Calculation and settlement of net exposure on daily basis."
1105,"We are looking for data analyst trainee– Excel operators.,Data Analyst Trainee– Excel Operator.,Any Degree BBA, B.com, BA, etc."
1107,"Have a passion for data analysis and drawing insights from data.,Understand data sources for KPIs and how data is stored in source systems."
1109,"Maintain data pipeline and conduct product data operations process.,Assist with data standardization and defining data validation criteria."
1110,"Conduct frequent, detailed, data audits across data systems and platforms and provide audit reports.,Perform data quality checks (real-time and periodic) based…"
1111,"Role/Job Title – Senior Data Analyst-Turbo Cross Sell.,Function/Department - Turbo Cross Sell.,'1. To understand the system enhancements required to better the…"
1112,"Identifies Product data sources, does data profiling and run data quality checks and develops visualizations for product key success metrics."
1113,"Solve business problems with data-driven approach.,Build resources that can democratize data accessibility within the organisation."
1114,"Outstanding attention to detail and dedication to data accuracy.,Our GBP team specifically focuses on product-level market-sizing across full spectrum of…"
1115,"Walk-In Interview for SQL Data Analyst Executive*.,Experience: *ERP executive should have knowledge of Implementation of ERP software all modules."
1116,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, database design development,…"
1117,"Proven working experience in data analysis.,Performing analysis to assess quality and meaning of data.,Strong mathematical skills to help collect, measure,…"
1118,"Use statistical methods to analyse data and generate reports.,Work with departmental managers to outline the specific data needs for analysis."
1119,"O Experience in working with organizational/workforce data.,O Demonstrates exceptional judgment and discretion when dealing with highly sensitive people data."
1120,"O Experience in working with organizational/workforce data.,O Demonstrates exceptional judgment and discretion when dealing with highly sensitive people data."
1121,"Tableau / Microsoft Power Bi (Model development using statistical methods ,Analyze data and generate insight - result interpretation and presentation, analyze…"
1122,The analyst will work across several products and remediation projects (i.e. regulatory requirements and control/risk related issues).
1123,"Accurately enter approved data elements into the various Optimas data systems.,Ability to work with large data sets and analyses, blend or summarize data to…"
1124,"Minimum of 3+ years of direct Data analysis experience.,Proficiency in Google Ads Analytics & Reporting and other relevant paid search platforms."
1125,"Experience in analyzing quantitative and qualitative data using various statistical tools.,(Predictive models, SEM, Path analysis, etc.)."
1126,"Working with on AWS datalake daily data load operations.,Have to be very good in communication.,Candidate will be interacting with Sr leadership of Clients."
1127,"Summary: Responsible for management information reporting and co-ordinating business intelligence for designated contracts, focussing on report creation, data…"
1128,"Thoroughly understand the underlying data, business implications and usage of data for research and consulting deliverables."
1129,"Dive into the data to find key insights that impact the business.,Technically Lead other data scientist to work with engineers and product manager to deliver…"
1130,"Verifies third party data provided.,Enters new data into the NextGen, and updates data based on third party CPE documentation and/or information."
1131,"Experience in data modelling, programming, querying, data mining, extraction and report development using large volumes of granular data to deliver business…"
1132,"Create analyses that tell a “story” focused on insights, not just data analytics.,Drive business outcomes by developing recommendations based on data (pricing,…"
1133,"Collate documentation and data to verify identity and ownership/control.,Source of data from approved sources using the methods outlined in policies and…"
1134,"Conduct data analysis as required and depending on experience.,Exposure to handling large and complex cross functional project data."
1135,"4+ years of experience managing the development of reporting, analytics, and BI solutions.,4+ years of experience analyzing reporting platforms, solutioning the…"
1136,Conduct analysis gaps of data capabilities and assess data collection improvements to ensure all available data is delivered for reporting.
1137,"Develop custom data models and algorithms to apply to data sets.,Assess the effectiveness and accuracy of new data sources and data gathering techniques."
1138,"Analyze data for trends and patterns, and Interpret data with a clear objective in mind.,Devise and utilize algorithms and models to mine big data stores,…"
1139,"The main duties of the role will be to: Monitor incoming queries and requests associated with data subjects, data privacy and general data usage; Maintain…"
1140,"From home working to job sharing, visit the remote and flexible working page on our website to find out more.,This role is based in India and as such all normal…"
1141,"Acquire data from primary or secondary data sources and maintain a database system.,Identify process improvements to streamline data collection and report…"
1142,"Excellent communication and data presentation skills.,Do data analyses and statistical techniques to develop solutions to get meaningful information of data to…"
1144,"Gathers appropriate data and diagnoses root cause of issues.,Draws accurate conclusions from qualitative and quantitative data.,Flexible to work in shifts MUST."
1145,"Manage own KYC New business book of work and oversee the process end to end.,Administer team responsible for daily BAU deliverables."
1146,"Strong analytical expertise: data analysis, statistical analysis, data manipulation, data extraction and reporting.,Working Experience with Azure Snowflake."
1147,"Providing publishers, societies and entertainment services with essential reference data for rights management.,Eye for detail, Logical thought process."
1148,"Must have a passion for data, structured or unstructured.,High-level proficiency with SQL based query languages and relational data concepts."
1149,"Any intern or done course data analyst can apply-*.,Must be background or done course data analyst - 6 month to one year exp-*."
1150,"Contribute to the performance evaluation of the vendor-provided digital learning content by analyzing data that includes usage data, support tickets, and…"
1151,"Manipulate, cleanse and interpret data from multiple data sources, required.,Assist with performance tuning of dashboards, background data queries as needed."
1152,"Experience in optimizing insertions of large amounts of data.,Experience in Mongo DB & No Sql (experience working on Unstructured data)."
1153,"Flexible to both online and offline classes.,Ernakulam, Ernakulam - 682025, Kerala: Reliably commute or planning to relocate before starting work (Required)."
1154,"Ensure that all activities and duties are carried out in full compliance with regulatory requirements, Enterprise Wide Risk Management Framework and internal…"
1155,"Provides relevant data cleaning reports, status updates, feedback on data trends throughout the study course.,Ensures that data from external databases/datasets…"
1156,"Comfortable/proficient manipulating both financial data and large raw data sets.,Ability to analyze and validate data sets with consistent accuracy to identify…"
1157,"Good understanding of SQL and data analysis.,Ability to derive insights from huge volumes of data.,Year of Exp 3*-8 years."
1158,Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database While peroforming this activity…
1159,"Create data governance policies like RLS to manage data security.,Python/R for data science.,Access data stored in databases/warehouses/flat files."
1160,"Should be comfortable with data viz tools like tableau , data studio etc.,Developing software and data models.,Manages and improves existing reporting systems."
1161,"Analyse and understand requests for data sets; create, test and deliver these data sets to consumers as required.,Provide a high standard of customer care."
1162,"Analytical and solid experience within data management/handling.,Research, gather, clean and analyze data related to oil and gas emissions product portfolio."
1163,"O Good to have : Working knowledge of data warehousing infra tools like Hive.,O Attention to detail and strong data orientationo Ability to adapt to and learn…"
1164,"Study and convert functional requirements into technical tasks.,Analyse, calculate and provide estimates.,Ensure the product meets the requirements."
1165,"The data analyst is responsible for collecting and analyzing internal & external data for reporting.,Defining new data collection processes and analysis on data…"
1166,"Collecting data from sources such as public opinion surveys and election results 3.,As a researcher you should be able to study the development of political…"
1167,"Deep understanding of Performance Management systems, HR data and reporting.,This role will also require expertise on MS Excel - VBA for analysis across the…"
1168,"To meet the agreed daily/weekly/monthly targets and deadlines.,To meet or exceed productivity benchmarks for Junior Analyst’s targets."
1169,"Must be experienced with large volume data analysis.,Gather requirements & create the data pipeline which will be used by Tableau Developer."
1170,"Maintain a thorough understanding of data and information resources.,Perform data analysis for generating reports on a periodic basis."
1172,"The Data & Analytics teams help make data-driven decisions in merchandising, store operations, finance, and supply chain.,3+ years of work experience."
1173,"Large scale data entry from various source media.,Entering data into a Geographic Information System (GIS) environment."
1174,"Approve data model changes as a Data Team Reviewer and code owner for specific database and data model schemas.,Programming languages such as Python or R;"
1175,"The role may also need expertise in managing clinical data management projects.,The team is responsible for performing data management activities including…"
1176,Skill : knowledge in system and ms office.
1177,"Performs regular backups to ensure data preservation.,Any data scraping tools knowledge will add an advantage.,Strong written and verbal communication skills."
1180,Bachelors or Master Degree or University Degree or equivalent with including 1 to 3 years of relevant experience as a Data Analyst with SQL experience.
1181,"# Acquire data from primary or secondary data sources and maintain databases/data systems.,# Technical expertise regarding data models, database design…"
1182,"Perform data research, analysis, and logical data modeling to validate and document the usage of business data artifacts.,Identify and analyze target segments."
1183,"Strong analytical and data gathering ability.,Rapid research - data collation and presentation from databases or Internet search."
1184,"Hope you are doing great and we need urgent candidate for data analyst with good techinical knowledge.,R or Python-Statistical Programming."
1185,"The candidate will provide data upload and reporting insights, implementation of activities against data pulls, and help improve the quality of customer data."
1187,"SQL, SAS, Hadoop, Hive, ETL, Spark, Scala, DataStage."
1188,Collaborate and work closely with data quality teams to ensure adherence to data ingestion and data governance standards.
1189,"Strong analytical abilities, able to handle and interpret large volumes of data, and out of box thinking to provide valuable insights on economic, technical,…"
1190,"As a Security Analyst, you will.,Monitor and review notable events in Splunk Enterprise Security dashboards.,Resolve false positives and communicate effectively…"
1191,"Utilizes systems and data to resolve business issues in the most effective and productive manner.,Experienced (relevant combo of work and education)."
1192,"We are looking for an experienced data analyst, preferably with additional data science, machine learning and AI experience."
1193,"Proactive identification of data quality issues arising across client data domains, and risks emanating from them.,Internal audits and Quality assurance."
1194,"Co-ordinate with the team and assist in creating process management templates, trackers using excel to make the data management, reporting, monitoring steps…"
1196,"The team also managing clinical data management projects.,The team is responsible for performing data management activities including discrepancy review, query…"
1197,"Ability to research and synthesize data and information.,Responsible for accurate interpretation of data relevant to drugs in the form of research and analysis."
1198,"Ability to analyze data using Microsoft Excel, Word, Powerpoint, etc.,With flexible hours and merit-based reward systems, we offer tremendous potential for…"
1199,"Collating data from various sources.,Love, eat and pray sanity of data.,Analyse data and bring out the story it represents."
1200,"Compile and analyze data related to business' issues.,Develop clear visualizations to convey complicated data in a straightforward fashion."
1201,"Ensure that quarterly or annual data updates are timely processed and uploaded.,Oversight and development of the total EMEA & APAC DWS Real Estate performance…"
1202,"Minimum of two years of experience with data or data warehousing systems.,Partner with and support other data analysts to validate quality and coverage of…"
1203,"Leverage data from Salesforce and other reporting platforms to analyze data and convert information into insight.,Speaking and listening on a telephone."
1204,"5-8 years’ work experience in a business intelligence or analyst role.,Deliver ad-hoc data extracts for day-to-day business decision making."
1205,"Work with Process Experts / Process Excellence Team, IT Advisors and Product Managers for streamlined delivery on Tax L&F Requirements."
1206,"Prototyping new ways to visualise and understand data relationships.,You will find that this role will challenge you to combine your computational & statistical…"
1207,"Coordinate with both Strategic and development team explaining data insights and predictions.,Good experience with SQL, data modeling, dashboarding and…"
1208,Candidates with 1 to 2 years’ experience statistical data analysis.
1209,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Ensure the data quality and integrity in databases."
1210,"Design and develop complex data queries to move and transform data from operational data sources to analytical databases.,Understanding of macros is beneficial."
1211,"Compile and analyze data related to business issues.,You think about data in terms of statistical distributions and have a big enough analytics toolbox to know…"
1212,"Experienced using Excel to analyze information,Advance Excel, SQL, including data manipulation and data analysis.,2+ years search or digital media experience."
1213,"Experience with SSIS and general administrative data experience.,Understanding of best-in-class model and data configuration and development processes."
1214,"Developing and maintaining databases, data systems – reorganizing data in a readable format.,Technical proficiency regarding database design development, data…"
1215,"And be able to advise/direct others to find the best data/research quickly and reliably.,Know a wide variety of secondary data sources (e.g. Factiva, Capital IQ…"
1216,"Good to have knowledge of data transformation, data mapping, operations, and basics of ETL tools.,Basics of data analysis using R/ Python etc."
1217,Liaise with analysts in order to understand and report the findings and observations of data needed for analysis and publications.
1218,"New data collection from internet.,String data mapping skills by joining multiple tables in SQL DB.,Bachelor or Master degree in Science or Information…"
1219,"Designs functional specifications of applications to address business and user needs.,Identifies internal and external factors which may impact requirements."
1220,"Ensuring full accuracy of data and quality.,Designation: Data Operations Analyst Department: Finance Solutions, Risk & Compliance."
1221,"Knowledge of and experience with databases (writing queries, analyzing data, developing reports, etc.).,Knowledge of and experience with any security tools…"
1222,"Using statistical tools to interpret data sets, propose data points with patterns that could be valuable for diagnostic and predictive analytics efforts."
1223,"Proven working experience as a data analyst.,Acquire data from primary or secondary data sources and maintain databases/data systems."
1224,"T o create and maintain Client Reference data basis of firm wide approved standard documentation.,Party Reference Data Utility is responsible for timely and…"
1225,"Identify trends/deviations in data and use analytical ability to form well thought out credit conclusions.,Support monitoring/surveillance of issuers by e.g.…"
1226,"2+ years experience as Data Analyst in business ops support fuction.,Hands on knowledge on Process execution and support.,Ready to work in graveyard shift."
1227,"To work with accounting and financial data, analyze, and perform financial adjustment calculation.,To demonstrate a basic understanding of economic principles…"
1228,"Your hard work will be rewarded with a competitive salary and discretionary performance bonus.,The benefits package includes 25 days' holiday per year, pension…"
1229,PIM L2 Data Support specialist Purpose of the position The role is necessary for Supporting the PIM/EDMS data within the framework of End to End Service with…
1230,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…"
1231,"Skilled in organising the team's knowledge and body of work using various products and data management tools.,Collaborate on creating key research deliverables,…"
1232,"5+ years of experience working in a data warehouse environment and a strong understanding of dimensional data modeling concepts.,Sound ETL knowledge in SSIS."
1233,"Initiate and complete – project cycle activities like data collection, integration, clean, data analysis, visualization, feature engineering etc."
1235,"Ensure proper and authorized access to data systems.,GAC Analyst Job Description: Enterprise Information Security team in need of an Information Security…"
1236,"The role will have wide range of responsibilities including data extraction, data cleansing, researching multiple data sources to support Master Data Management…"
1237,Prior experience with data analysis in finance / billing / payments / energy domain or working in similar roles (data analyst) is preferred.
1238,"Working knowledge in analyzing e-commerce data and paid advertising data.,Tasks: Convert and integrate complex data from multiple data source into dashboards,…"
1239,"Responsible for tracking, reporting, and analyzing the performance of marketing activities, ad-hoc analytic requests, and development/automation of regular…"
1240,"Activities include: Define and maintain data standards, definitions, and models (e.g. data dictionary, organizational data model."
1241,"Intermediate to advanced knowledge in data science, big data tools and infrastructural components – Hadoop / PySpark / Jupyter.,Best in class leave policy."
1242,"We are a group of engineers and analysts focused on improving business performance through data analysis.,Strong mathematical skills to help collect, measure,…"
1243,"Knowledge of diagrams like data flow, sequence diagrams etc.,Ability to document and analyze required information, and data."
1244,"Responsibilities:Interpret data, analyze results using statistical techniques and provide ongoing reportsDevelop and implement databases, data collection…"
1245,"Should analyze data and presenting data through reports that aid decision-making.,Your role would need a keen eye for detail, experience as a data analyst, and…"
1246,"Should be enable to assess various business opportunities and efficiently making data.,Interpret, evaluate and interrelate research data and develop integrated…"
1247,"Coming up with data driven solutions to control risk.,The Data Scientist role will enable you to be at the forefront of latest cutting-edge technology and…"
1248,"Generating business insights using data analytics to answer business problems.,Supports management in developing and implementing systems, reengineering…"
1249,"Identify systems processes by evaluation of real-time data.,Excellent written and verbal communicator with the ability to translate data into actionable…"
1250,Ensures data integrity and compliance by partnering with stakeholders to learn and educate on the data strategy.
1251,"✓ 2-4 years of strong experience in Tabulation and Data validation using Quantum.,✓ Proficiency in Quantum scripting tool is essential."
1252,"Ensure all data is complete and accurate in Hyperion.,Utilize wide ranging data sources and systems, developing reports & tools to facilitate a deeper insight…"
1253,"1+ year experience as an analyst with a consumer or marketplace/platform product.,Data and User focused: Balance data insights with user research to drive…"
1254,"Analyse and document functional requirements to the assigned projects and services as per defined business requirements.,Microsoft Office: 1 year (Preferred)."
1255,Technical data analyst (knowledge of db/ ETL) who has experience in creating/ documenting both business and technical requirements as part of requirement…
1256,"Manage all phases of data management activities from study start up to database close.,Minimum Work Experience • Previous relevant working experience preferred,…"
1257,"Identify data gaps and data integrity issues in current data, partner with data owners and IT team to plan resolution.,Experience to guide IT in data solutions."
1258,"Responsible for data quality in & maintenance of various databases in all tools used.,Ability to think critically and analytically and use data driven insights…"
1259,"Champion data quality initiatives and drive data accuracy across all phases of material data management.,Previous experience as SAP Material Master process…"
1260,"Clearly articulating and facilitating data analytical findings to stakeholder at all levels.,Ensuring the supply of data, supporting analytics and reports to…"
1261,"Acquiring data from primary and secondary data sources and maintaining databases/data systems.,Managing, creating, updating and master data."
1262,"In this role, we want analysts to use the data models and reports, to draw actionable and meaningful insights.,Traffic Metrics, broken by Source, Channel, etc."
1263,Overall 7+ years of experience including a minimum of 3+ years of System/Business analyst experience within the eCommerce or Retail Digital industry.
1264,"Work closely with data analysts, data scientists, report developers, and business process owners to empower data-backed decision making."
1265,"Senior data analyst, responsible for designing data collection, storage, and retrieval system and processes.,He will be responsible for ensuring data collection…"
1266,"Technical or data-driven educational background (computer science, engineering, statistics, data science).,Data Engineering skills(ability to extract data from…"
1267," Using and applying a variety of data modelling techniques., Liaison between the client and the team for the successful delivery of the project."
1268,The primary responsibility of this role is to continuously drive improvements in the quality of output in Cision’s Database Research business to ensure a…
1269,"Support ongoing clients related to any prod data fixes/Data reports/ Extracts.,Our innovative programs have a lasting impact on the health, financial security…"
1270,Job description : Deliver service commitments (SLA&OLA) and ensure delivery of contractual KPI/CPI ¿ Work closely with the SDM on daily operational requirements…
1271,"Experience in quantitative or statistical analysis, data mining, predictive or statistical modelling, applied programming, data management, data transformation,…"
1272,"Mentor and coach other data analysts.,Is data-driven and passionate about solving problems through data & enable others using data in decision making."
1273,"Subjects and collect and analyze data.,Collecting data from sources such as public opinion surveys and election results."
1274,"3+ years as a business/data analyst/analytical experience.,Excellent data management and analysis skills to assemble, clean and analyze data effectively from…"
1275,"Connecting data sources, importing data, and transforming data for Business intelligence.,Analytical thinking for translating data into informative reports and…"
1276,"Experienced in data analysis and data visualisation.,Experienced with data –binding frameworks.,Proficiency working with SQL databases and data pipelines."
1278,"Background in any of the processess under client data / Tax / Instruments / would be beneficial.,Best in class leave policy.,Accident and Term life Insurance."
1279,"Ensure data compatibility and bridge the gap of data and business needs based on GAAP.,General understanding of data tables and ETL techniques."
1280,"Experience in data analysis, including data cleaning/preparation, reporting, modeling.,Daily data analysis in online financial business, including data cleaning…"
1282,"Good working knowledge of data analytic methods and tools, including but not limited to Spotfire, and Microsoft Excel.,To qualify for the role you must have:"
1283,"Conduct quantitative (statistical analysis, financial data.,Conduct quantitative (statistical analysis, financial data analysis, etc.)."
1284,"Interpret large raw data sets; conduct data analysis and audits – high level of excel mastery is required, Strong Analytical skills to help collect, measure,…"
1285,"Regularly meet with other data analysts to help with Alteryx issues, and recommend best practices from both a technical and process perspective as related to…"
1286,"Design conceptual and logical data models and flowcharts Present information using data visualization techniques.,Good data management using Excel."
1287,"Guide junior analysts on research methods, data analysis, and other related tasks.,Development of Excel sheet data.,Make 40 cold calls daily."
1288,"2 years of experience in data and analytics.,Bachelor's degree in Computer Science, Applied Mathematics, Statistics, Quantitative Social Sciences, or equivalent…"
1289,"Interacts with benchmark data provider.,Uses proprietary software to query data.,The Research Analyst is able to integrate Benchmark products and support or fix…"
1290,"Frequently liaise with associate analysts in order to understand and remediate data issues.,Ensure data consistency and completeness."
1291,"Experience with data quality, data cleanup, data enrichment, data strategy, customer data integration (CDI), enterprise information management (EIM), and/or…"
1292,"Translate data into meaningful insights and providing data-driven answers to difficult questions.,Assess the effectiveness and accuracy of new data sources and…"
1293,"Provide support with queries on data anomalies & conduct adhoc analysis as requested.,Assist Senior Demand and Supply Planner for any activity relating to…"
1294,"BKTC is looking for young and energetic Data Analysts, freshers and experienced for a leading international Consulting firm to join our growing team."
1295,"Identify data issues/risks and provide solutions for improvement.,Handle requests concerning large data volumes on a daily basis, coming both from clients and…"
1296,"To succeed as an MIS analyst, applicants must be proficient with Microsoft Tools, including Excel and PowerPoint, and also possess advanced computer skills for…"
