,Eligibility
5200,SEO specialists
5208,PHP Programmers
5209,All qualified candidates
5210,All qualified persons
5212,All qualified candidates
5214,All qualified persons
5230,Web developers and programmers
5232,All qualified candidates
5246,"The applicant must be a citizen of
Armenia or an ethnic Armenian from the Armenian Diaspora without any
limitation on citizenship."
5248,Last year BS or 1-st year MS students
5251,"Last year BS students or 1st year MS
students"
5252,All qualified candidates
5253,All qualified individuals
5256,All qualified candidates
5260,"Law students, graduates, young scholars,
and practicing lawyers interested in the EU law."
5264,College or Secondary School graduates
5267,All qualified candidates
5276,All qualified candidates
5280,"Everyone with solid IT, analytical and
extensive knowledge of computer science."
5281,All interested and qualified candidates
5286,Experienced candidates
5293,All qualified candidates
5294,All qualified candidates
5295,All qualified candidates
5317,All interested candidates.
5330,All qualified candidates
5335,Translators
5337,"Open to all software development
professionals"
5342,Professionals
5344,All quallified candidates
5350,All interested candidates.
5358,"Architects qualified in interior design
and landscaping."
5361,All qualified candidates
5362,All interested persons
5364,All qualified candidates
5367,All interested candidates.
5368,All interested candidates.
5369,All interested candidates.
5378,All qualified candidates
5380,Qualified candidates
5381,All qualified candidates
5383,All interested candidates
5389,Qualified candidates.
5398,All interested candidates.
5403,All qualified candidates
5404,"Architects qualified in interior design
and landscaping."
5409,All qualified candidates
5410,All interested candidates.
5416,All qualified candidates
5417,All qualified candidates
5420,Young professionals from Armenia or CIS.
5423,All interested candidates
5425,"Young professionals from Armenia and
CIS."
5426,"Young professionals form Armenia and
CIS."
5427,"Young professionals from Armenia and
CIS."
5428,"Young professionals from Armenia and
CIS."
5429,All interested candidates.
5430,All interested and qualified candidates.
5431,"All ineterested and qualified
candidates."
5434,"All ineterested and qualified
candidates."
5436,All qualified candidates
5439,All interested candidates.
5450,All interested candidates.
5465,All qualified candidates
5470,All interested candidates
5483,"All qualified lawyers, licensed to
practice law in Armenia."
5487,Serious and qualified candidates only.
5495,All qualified candidates
5504,All qualified candidates
5507,All qualified candidates
5508,All interested candidates.
5511,All interested candidates.
5512,"All persons who are qualified to work in
the Republic of Armenia."
5519,Management level professionals.
5521,All qualified candidates
5522,All qualified candidates.
5523,All qualified candidates
5524,All qualified candidates
5526,All qualified candidates
5529,All interested candidates
5536,"All qualified lawyers, who are licensed
to practice law in Armenia."
5546,All qualified candidates
5547,All qualified candidates
5548,All qualified candidates
5549,All qualified candidates
5550,All qualified candidates
5551,All qualified candidates
5552,"The applicant must be a citizen of
Armenia or an ethnic Armenian from the Armenian Diaspora without any
limitation on citizenship."
5556,"Individuals from companies and
organizations dealing with internal and external business, those which
want to develop certain etiquette in cooperation with colleagues and
higher-ups, with partners and competitors, with international/national
counterparts and customers."
5557,All interested candidates
5558,All qualified candidates
5559,"Companies and organizations dealing with
internal and external business, those which want to develop certain
etiquette in cooperation with colleagues and higher-ups, with partners
and competitors, with international/national counterparts and customers."
5560,"Current students or graduates of
political, social, law, economy sciences or related faculties."
5564,"Current students or graduates of
political, social, law, economy sciences or related faculties."
5570,Senior Software Developers
5573,All interested candidates
5578,All interested candidates.
5594,Everyone
5600,All
5601,"Open to eligible candidates. Woman
candidates are encouraged."
5602,All candidates
5606,Students may also apply
5608,Open to eligible candidates.
5609,All interested candidates.
5610,All qualified candidates
5611,All qualified and interested candidates.
5620,All interested candidates.
5624,All interested candidates
5625,"All qualified lawyers licensed to
practice law in Armenia."
5627,All interested candidates.
5629,All interested candidates.
5632,All interested candidates
5633,Everyone
5637,All interested candidates
5638,All qualified candidates
5645,Everyone
5647,All qualified candidates
5650,All interested candidates.
5664,"The JFDP competition is open to citizens
from Albania, Armenia, Azerbaijan, Bosnia and Herzegovina, Croatia,
Georgia, Kazakhstan, Kyrgyzstan, Macedonia, Montenegro, Serbia,
Tajikistan, Turkmenistan, and residents of Kosovo."
5666,All interested candidates.
5672,All interested candidates
5683,All interested candidates
5686,to all qualified citizens of Armenia
5690,Open to all candidates
5691,All qualified candidates
5704,All qualified candidates
5705,All qualified candidates
5711,All qualified candidates.
5715,All interested candidates
5719,All interested candidates
5723,All interested candidates
5724,All interested candidates.
5725,All persons who are qualified to work.
5727,All persons who are qualified to work.
5728,All interested candidates.
5730,All qualified candidates
5733,All interested candidates
5734,All interested candidates
5735,All interested candidates
5750,All interested candidates
5759,All interested candidates.
5760,All interested candidates
5768,All interested candidates
5771,All interested candidates
5773,All interested candidates.
5776,All qualified candidates
5785,"Enthusiastic persons who enjoy
out-of-the office job."
5787,All qualified candidates
5788,All qualified candidates
5816,All interested candidates.
5823,All interested candidates.
5824,Holders of PhD degree
5825,Holders of PhD degree
5830,All interested candidates
5832,All interested candidates
5833,All interested candidates
5834,All qualified candidates
5835,All interested candidates.
5840,All interested candidates.
5845,All qualified persons
5850,All qualified persons.
5851,All qualified candidates
5854,All interested candidates
5855,"Young professionals from Armenia and
CIS."
5859,All qualified candidates
5866,All interested candidates
5867,All interested candidates
5870,All interested candidates
5872,All qualified specialists
5873,"Undergraduates of accredited higher
educational institutions"
5877,All qualified candidates
5887,All qualified and interested candidates.
5889,All qualified candidates
5892,All interested candidates
5896,"The program is intended for all
interested candidates."
5900,"Everyone with deep knowledge and
practical experience in VB and T-SQL programming."
5901,"Highly qualified and experienced Web
programmers."
5905,"All highly qualified persons with deep
knowledge and practical experience in Windows networking and Windows
Server 2003 administrating."
5910,All interested and qualified candidates
5912,All qualified candidates
5913,All qualified individuals
5914,All qualified individuals
5915,All qualified individuals
5916,All qualified individuals
5917,All qualified individuals
5918,All qualified individuals
5921,All interested candidates
5922,All required candidates
5924,All required candidates
5936,All qualified candidates
5938,All interested candidates
5941,All interested candidates
5952,All interested and qualified candidates.
5953,"Open to all candidates who fit the
required professional and personal qualifications.
People who are willing to join a staff working to achieve effective,
transparent and team-oriented implementation of DOTCOM project while
contributing to Project Harmonys overall mission to build a strong
global community by fostering civic leadership, harnessing Internet
technology, and facilitating cross-cultural learning."
5955,All qualified individuals
5957,All interested candidates
5963,All qualified individuals
5967,All interested candidates.
5973,"Candidates with experience in western
organization."
5986,All eligible and interested candidates
5988,All eligible and interested candidates
5990,All qualified individuals
5997,All qualified candidates
6006,All interested candidates
6011,All qualified candidates
6012,All interested candidates.
6013,Everybody
6016,All qualified candidates
6020,All interested candidates.
6022,"All persons who are qualified to work in
the Republic of Armenia."
6025,All interested candidates
6036,All qualified candidates
6040,All interested candidates
6042,Everyone
6045,All
6053,"College or University students or
graduates"
6055,College or University graduates
6056,"Specialists and Practitioners in
Marketing or related fields, Marketing Managers and Executives"
6059,All interested candidates
6061,"All persons who are qualified to work in
the Republic of Armenia."
6063,All interested candidates
6069,All eligible candidates
6070,All
6071,All interested candidates
6072,All interested candidates
6073,All qualified and interested candidates.
6074,All motivated and qualified candidates
6077,All qualified candidates
6082,All interested candidates
6083,Everyone
6087,All interested and qualified candidates.
6088,All interested and qualified candidates.
6089,All interested candidates
6090,All interested candidates
6094,All interested and qualified candidates.
6095,All interested and qualified candidates.
6096,All interested and qualified candidates.
6106,All eligible and interested candidates
6111,"All highly qualified persons with deep
knowledge and practical experience in Windows networking and Windows
Server 2003 administrating."
6113,"Everyone with deep knowledge and
practical experience in VB and T-SQL programming."
6115,All qualified candidates
6118,All interested and qualified candidates.
6119,All interested and qualified candidates.
6127,All qualified candidates
6130,"Enthusiastic persons who enjoy
out-of-the office job."
6134,All eligible candidates
6136,All eligible candidates
6140,All interested candidates
6142,All motivated and qualified candidates
6148,"Up to 15 qualified Armenian citizens
from Armenian Ministries and other state/government bodies as well as
non-governmental organizations (NGOs), think tanks, and private
businesses."
6150,All interested candidates
6159,All eligible candidates
6164,"It is open only to persons who are
nationals and residents of Armenia."
6170,"The ideal candidate for this position is
a mid-career professional who has between 3-5 years of real experience in
software development."
6172,All qualified candidates
6173,All interested candidates
6177,All qualified professionals
6178,All qualified professionals
6180,All motivated and qualified candidates
6182,All interested candidates
6186,All qualified candidates
6196,All interested candidates
6199,All interested candidates
6202,All qualified candidates
6205,All qualified candidates
6208,Software developers
6210,IT specialists
6212,All eligible candidates
6220,All eligible specialists
6226,All interested candidates
6231,All interested and qualified candidates.
6234,All eligible candidates
6237,All eligible candidates
6238,All eligible candidates
6245,All qualified candidates
6250,All interested candidates
6252,Experienced software developers
6258,Everyone
6264,All interested candidates.
6268,All eligible candidates
6269,All qualified candidates
6271,All interested candidates
6274,"All qualified candidates. Candidates
from regions of Armenia are highly encouraged to apply."
6277,All nationals of Armenia
6280,All interested candidates.
6281,All qualified candidates
6286,All qualified candidates
6289,Professional website designers
6291,All qualified candidates
6292,Professional website developers
6296,All interested candidates.
6298,All interested candidates.
6299,All interested candidates
6302,All interested candidates
6304,"Medical doctors with specialization in
Cardiology."
6305,"Medical doctors with specialization in
Cardiology and  3rd year Cardiology Residency students."
6309,All eligible candidates
6314,All interested candidates.
6315,Experienced Lead Web Developers
6316,All interested candidates.
6319,All interested candidates
6320,All interested candidates
6322,All interested candidates
6323,All motivated and qualified candidates
6326,Software developers
6333,All interested and qualified candidates.
6334,All interested candidates
6336,All interested candidates
6337,All qualified candidates
6338,"Qualified and experienced
Social-pedagogues"
6339,Qualified and experienced psychologists.
6342,All interested candidates
6344,All motivated and qualified candidates
6345,All interested candidates
6352,All motivated and qualified candidates.
6354,All qualified candidates
6357,All interested candidates.
6363,Mass media representatives
6365,All qualified candidates
6371,All interested candidates.
6378,Only highly qualified specialist!
6381,All qualified candidates
6402,All interested candidates
6404,All interested candidates
6406,All qualified candidates
6408,All interested candidates
6414,Software developers
6416,Software developers
6418,All interested candidates
6420,All interested candidates
6421,All interested candidates
6424,Open to all interested candidates
6425,All interested candidates
6426,All interested candidates
6427,All interested candidates
6428,All interested candidates
6429,All interested candidates
6430,All interested candidates
6432,All interested candidates
6436,All qualified candidates
6437,All interested candidates
6438,All qualified candidates
6440,All interested candidates.
6441,All qualified candidates
6442,All qualified candidates
6443,All interested candidates.
6444,All interested candidates.
6446,All interested candidates
6447,All interested candidates.
6448,All qualified candidates
6450,All qualified candidates
6453,All qualified candidates
6455,"Young professionals, students or
graduates of Sales/Marketing departments."
6460,All qualified candidates
6461,All qualified candidates
6462,All qualified candidates
6463,All qualified candidates
6464,All qualified candidates
6466,All eligible candidates
6470,All interested candidates
6472,All interested candidates
6475,All interested candidates
6476,All eligible and qualified candidates
6478,All interested candidates
6479,All interested candidates
6480,All qualified candidates.
6481,Representatives of environmental NGOs
6483,All interested candidates
6488,Software developers
6492,All interested candidates
6493,All eligible candidates
6494,All interested candidates
6495,All eligible candidates
6496,All eligible candidates
6498,All qualified candidates.
6500,All interested candidates
6501,All interested candidates
6505,All qualified candidates
6506,"Qualified and experienced translators of
Armenian-to-English and Russian-to-English content."
6514,All qualified candidates
6515,All required candidates
6517,All interested candidates
6520,All qualified candidates
6522,"Company announces unlimited hiring for
SQA Engineer position."
6525,All interested candidates
6529,All interested candidates
6530,"The applicant must be a citizen of
Armenia or an ethnic Armenian from the Armenian Diaspora without any
limitation on citizenship."
6531,All qualified candidates
6532,All qualified candidates
6533,All interested candidates
6535,All eligible candidates
6536,All qualified candidates
6547,All qualified candidates
6548,All eligible candidates
6549,All interested candidates
6552,All interested and qualified candidates.
6560,"Qualified professionals with
English-to-Russian language written translation experience."
6561,All inerested candidates
6562,All interested and qualified candidates
6564,All interested candidates
6566,All eligible and qualified candidates
6567,All motivated and qualified candidates
6570,Everyone
6571,All interested and qualified candidates
6572,Everyone
6574,All qualified candidates
6575,All interested candidates
6576,All qualified candidates
6578,All qualified candidates
6581,All interested and qualified candidates.
6584,All motivated and qualified candidates
6587,All interested candidates
6589,Qualified candidates
6590,Qualified candidates
6592,All qualified candidates
6593,Qualified candidates
6598,All interested candidates
6603,All interested candidates
6610,All qualified candidates
6611,Software developers
6617,All qualified candidates
6619,All interested candidates
6622,"The applicant must be a citizen of
Armenia or an ethnic Armenian from the Armenian Diaspora without any
limitation on citizenship."
6623,"Open to up to 4 qualified Armenian
citizens with a minimum of 4 years work experience in security or
defense-related fields from the Armenian Ministry of Defense, National
Security Council, Parliament and Ministry of Foreign Affairs."
6635,All qualified and interested candidates.
6640,All interested candidates
6646,All interested candidates
6647,All qualified candidates
6651,All interested candidates.
6672,All eligible candidates
6673,All eligible candidates
6682,Qualified candidates
6684,All interested candidates
6688,All eligible and interested candidates.
6692,All eligible and interested candidates.
6693,All qualified and interested candidates.
6695,All interested candidates
6707,Qualified candidates
6708,All qualified candidates
6709,Qualified candidates
6710,Qualified candidates
6718,Qualified candidates
6719,Qualified candidates
6722,All qualified candidates
6723,All qualified candidates
6724,All interested candidates
6725,All qualified and interested candidates.
6728,All interested candidates
6729,"All eligible, interested and qualified
candidates."
6730,All interested candidates
6735,All interested candidates.
6736,All qualified candidates.
6738,All interested candidates.
6742,All interested candidates.
6743,"All eligible, interested and qualified
candidates"
6744,"All eligible, interested and qualified
candidates."
6746,"All eligible, interested and qualified
candidates."
6748,All eligible and interested candidates.
6750,All qualified and interested candidates.
6755,All qualified candidates.
6756,All eligible and qualified candidates
6759,All interested candidates
6760,All interested candidates
6764,All interested candidates
6765,Residents of Nagorno Karabakh
6768,"All qualified candidates with
eligibility to work in Yerevan, Armenia."
6773,Software developers
6775,Software developers
6780,All eligible and qualified candidates
6781,All interested candidates
6782,All qualified candidates
6786,All interested candidates
6790,All qualified candidates.
6795,All qualified candidates.
6799,All interested and eligible candidates.
6803,All interested candidates
6804,"All interested candidates.
Note: All applicants who are not Family Members of USG employees
officially assigned to post and under Chief of Mission authority must
have the required work and/or residency permits to be eligible for
consideration."
6805,All interested candidates.
6807,All interested candidates
6808,All interested candidates
6809,All eligible candidates.
6810,All eligible candidates
6822,All interested candidates
6825,"Ordinarily Resident or US citizen who:
- Is locally resident; and,
- Has legal, permanent resident status within the host country; and, 
- Is subject to host country employment and tax laws."
6830,All qualified candidates
6833,All qualified candidates
6837,All interested candidates.
6838,All qualified candidates
6843,All qualified candidates.
6844,All interested candidates
6846,All interested candidates
6848,"Open to anyone who wants to work as a
journalist in the Caucasus."
6849,"Open to anyone who wants to work as  a
journalist in the Caucasus."
6850,"Open to anyone who wants to work as  a
political analyst in the Caucasus."
6852,"Open to anyone who wants to work as a
political analyst in the Caucasus."
6853,Everyone
6855,All interested candidates
6858,All interested and qualified candidates.
6859,"The Global Supplementary Grant Program
is available to citizens of the following countries:  Albania, Armenia,
Azerbaijan, Belarus, Bosnia, Croatia, Georgia, Kazakhstan, Kosovo,
Kyrgyzstan, Macedonia, Moldova, Mongolia, Montenegro, Russia, Serbia,
Tajikistan, Turkmenistan, Ukraine, and Uzbekistan."
6863,All qualified candidates
6865,All qualified and interested candidates.
6871,All interested candidates
6872,All qualified candidates
6888,All interested candidates
6889,All interested candidates
6891,All interested candidates
6892,All interested candidates
6898,All qualified and interested candidates.
6899,All qualified candidates
6900,All qualified candidates
6902,"PHD, Master or Bachelor students"
6906,All eligible candidates
6911,All eligible specialists
6912,All eligible specialists
6916,All qualified candidates
6918,All qualified candidates
6922,All interested candidates
6923,"Experienced accountants, preferably with
the background in the financial/banking system."
6925,All interested candidates
6930,"Experienced managers, preferably with
the background in the medical system."
6931,"All interested candidates aged from 18
and up can apply."
6932,All interested candidates
6938,All eligible and qualified candidates
6943,All eligible and qualified candidates
6944,All qualified and interested candidates.
6953,All interested candidates
6954,All interested candidates
6955,All eligible and qualified candidates.
6956,"All qualified lawyers licensed to
practice law in Armenia."
6960,All qualified candidates
6961,All qualified candidates
6962,All qualified candidates
6968,All the interested candidates
6970,All interested candidates
6972,All eligible candidates
6973,All eligible candidates
6974,All eligible candidates
6978,All eligible candidates
6980,All qualified candidates
6982,Qualified candidates
6986,All interested candidates
6989,All eligible candidates
6991,All interested candidates
6992,All interested candidates
6993,All interested candidates
6996,All interested candidates
6998,All interested candidates
6999,All interested candidates
7000,All qualified candidates
7001,"Medical doctors with specialization in
Cardiology."
7009,All qualified and interested candidates.
7010,All qualified and interested candidates.
7011,"All interested candidates aged from 18
and up can apply."
7014,All eligible candidates
7015,All qualified candidates
7017,All qualified and interested candidates.
7019,All interested candidates
7020,All interested candidates
7039,"All qualified lawyers licensed to
practice law in Armenia."
7042,All interested candidates
7044,All qualified candidates
7046,"Open to anyone who wants to work as a
journalist in the Caucasus."
7047,All eligible candidates
7049,All eligible candidates
7050,All qualified candidates
7053,All interested candidates
7054,All interested candidates
7055,All interested candidates
7056,All interested candidates
7057,All interested candidates
7058,All interested candidates
7059,All interested candidates
7060,All interested candidates
7061,All interested candidates
7062,All interested candidates
7063,All interested candidates
7064,All interested candidates
7065,All interested candidates
7066,All interested candidates
7067,All interested candidates
7068,All interested candidates
7069,All interested candidates
7070,All interested candidates
7071,All interested candidates
7073,All qualified candidates
7075,All interested candidates
7076,All interested candidates
7077,All interested candidates
7078,All interested candidates
7079,All interested candidates
7080,All interested candidates
7081,All interested candidates
7082,All interested candidates
7083,All interested candidates
7084,All interested candidates
7086,All interested candidates
7091,All eligible candidates
7095,All interested candidates
7101,"Armenian and foreign citizens willing to
relocate to Armenia."
7102,All qualified candidates
7103,All interested and qualified candidates.
7104,All interested candidates
7105,All interested candidates
7109,All interested candidates
7110,All interested candidates
7111,All interested candidates
7116,All qualified and interested candidates.
7131,"Media Style is looking for an Editor/
Journalist for its Business Class magazine."
7133,All interested candidates
7134,All interested candidates
7135,All interested candidates
7147,All qualified specialists
7149,Everyone
7151,All qualified and interested candidates.
7153,All eligible and qualified candidates.
7154,All qualified and interested candidates.
7157,All qualified candidates
7161,All eligible and qualified candidates.
7169,Engineers
7170,Everyone
7171,Everyone
7174,All qualified candidates
7178,All interested candidates
7179,All interested candidates
7180,All interested candidates
7181,All interested candidates
7186,All interested candidates
7189,"Open to anyone who wants to work as a
journalist in the Caucasus."
7190,All interested candidates
7192,All qualified individuals
7193,"The training is open to up to 15
qualified Armenian citizens with a minimum of 3 years work experience in
international relations and/ or organizations focused on foreign policy
initiatives/ issues from Armenian Ministries and other government bodies
as well as non-governmental organizations (NGOs), think tanks and civil
society organizations. An academic background in international relations
or relevant social sciences is considered an advantage."
7196,All qualified candidates
7200,All qualified candidates
7202,All qualified candidates
7207,All qualified individuals
7212,"Foreign national citizens who are local
residents and have legal, permanent resident status within the host
country and are subject to host country employment and tax laws."
7214,All interested and qualified candidates
7217,All interested and qualified candidates
7218,All qualified individuals
7221,All eligible candidates
7234,All interested candidates
7239,All interested candidates
7241,Qualified candidates
7243,Everyone
7246,All interested candidates
7247,All qualified candidates
7248,All interested candidates
7249,All interested candidates
7251,All interested candidates
7253,Everyone
7256,All qualified candidates
7257,"All eligible, interested and qualified
candidates"
7260,All interested candidates
7265,"All eligible, interested and qualified
candidates"
7266,All
7267,All interested candidates
7268,All interested candidates
7269,All interested candidates
7270,"Individuals who study Economics at
universities or have at least a Bachelors degree in technical sciences."
7276,All interested and qualified candidates.
7279,All interested candidates
7284,All interested candidates
7286,All qualified candidates
7290,All interested candidates
7291,All interested candidates
7293,All interested candidates
7294,All interested candidates
7298,All qualified candidates
7300,All eligible candidates
7311,All interested candidates
7312,All interested candidates
7313,All interested candidates
7317,All eligible candidates
7326,All interested candidates
7328,All interested and qualified candidates
7330,All interested candidates
7331,All eligible candidates
7332,Everyone
7337,All skilled workers
7339,All interested candidates
7340,All interested and qualified candidates.
7347,All interested and qualified candidates.
7348,All qualified and interested candidates.
7352,All qualified candidates
7353,All qualified candidates
7354,All qualified candidates
7355,All qualified candidates
7357,"Specialists and Practitioners in
Marketing or related fields, Marketing Managers and Executives with more
than half year work experience."
7358,All qualified and interested candidates.
7359,All qualified candidates
7360,Everyone
7363,All interested candidates
7365,All qualified candidates
7367,All eligible candidates
7372,Students and post graduates
7375,All interested and qualified candidates.
7377,All qualified candidates
7378,All qualified individuals.
7381,Everybody
7383,All qualified candidates
7387,All eligible candidates
7400,All interested and qualified candidates.
7402,All interested candidates
7413,Everyone
7415,"Armenian and foreign citizens willing to
relocate to Armenia."
7429,"Armenian citizens under the age 30
having higher education may apply."
7430,All qualified candidates
7431,All qualified candidates
7436,"Armenian citizens under the age 30
having higher education may apply."
7437,All interested candidates
7440,"All interested professionals who qualify
the job profile."
7441,All qualified candidates
7446,All qualified candidates
7447,All qualified candidates
7449,All interested candidates
7450,All interested candidates
7451,All interested candidates
7456,All qualified and interested candidates.
7459,All qualified candidates
7460,All qualified candidates
7462,All interested candidates
7463,All interested candidates
7464,All interested candidates
7465,All interested candidates
7466,All interested candidates
7469,All interested candidates
7470,All interested candidates
7474,All interested candidates
7476,All interested candidates
7477,All qualified candidates
7478,All qualified individuals
7479,All interested candidates
7480,All qualified candidates
7482,Everyone
7485,Everyone
7488,All qualified candidates
7491,All interested candidates
7493,All interested candidates
7495,All interested candidates
7497,All interested candidates
7499,All qualified candidates
7501,"Candidates will be considered without
respect to race, color, religion, national origin or gender. Persons
with disabilities are strongly encouraged to apply. Competition for the
Global Undergraduate Exchange Program is merit-based and open to anyone
who:
- Is a citizen, national or permanent resident qualified to hold a valid
passport issued by the country of Armenia, Azerbaijan, Belarus, Georgia,
Kazakhstan, Kyrgyzstan, Moldova, Russia, Tajikistan, Turkmenistan,
Ukraine or Uzbekistan;
- Is currently residing in one of the following eligible countries:
Armenia, Azerbaijan, Belarus, Georgia, Kazakhstan, Kyrgyzstan, Moldova,
the Russian Federation, Tajikistan, Turkmenistan, Ukraine or
Uzbekistan;
- Is enrolled as a full-time undergraduate student at the time of
application at a registered academic institution in one of the 12
eligible countries and in good academic standing. All students must
return to their home academic institution for a minimum of one full term
(semester or year) following the end of the UGRAD program. Correspondence
students in Tajikistan and Turkmenistan are also eligible to apply;
- Is between the ages of 18-24 years old at the time of travel to the
United States (August-September 2010); 
- Submits a complete original application and two copies with all
required documents by the application deadline;
- Is able to begin the academic exchange program in the United States in
the fall of 2010;
- Is able to receive and maintain a U.S. J-1 visa;
- Is physically able to complete the program in its entirety;
- Is committed to returning to his/her home country after completion of
the program;
- Is proficient in spoken and written English at the time of
application."
7502,All qualified candidates
7503,All interested candidates
7504,Everyone
7505,All motivated and qualified candidates
7506,Everyone
7508,All qualified candidates
7509,All interested candidates
7510,All qualified candidates
7511,All qualified candidates
7512,All qualified candidates
7514,Everyone
7515,All qualified candidates
7524,All interested candidates
7529,"Citizens of Armenia, Azerbaijan and
Georgia"
7530,"Citizens of Armenia, Azerbaijan and
Georgia"
7531,"Citizens of Armenia, Azerbaijan and
Georgia."
7532,"Citizens of Armenia, Azerbaijan and
Georgia"
7533,"Citizens of Armenia, Azerbaijan and
Georgia"
7534,"Citizens of Armenia, Azerbaijan and
Georgia."
7543,All qualified candidates
7545,Everyone
7546,"Citizens of Armenia, Azerbaijan and
Georgia"
7547,"Citizens of Armenia, Azerbaijan and
Georgia"
7548,"Citizens of Armenia, Azerbaijan and
Georgia."
7556,"CEU follows the admissions policy and
criteria adopted by its Senate in line with international practice.
Admission to Central European University is based upon an overall
evaluation of the candidate, including: academic achievements, strength
of recommendations, English language proficiency and specific
requirements of the Department or Program. Admission to CEU is highly
competitive."
7557,All qualified candidates
7559,All qualified and interested candidates.
7561,"All interested professionals in the
field of sociology, political science, statistics and data management
systems."
7563,Everyone
7576,"All eligible, interested and qualified
candidates"
7580,All qualified candidates
7581,All qualified and interested candidates
7582,All interested candidates
7585,All qualified candidates
7587,All interested candidates
7589,Preferably first year MS student
7590,Preferably MS first year student
7591,Everyone
7594,All qualified candidates
7605,All interested candidates
7609,All interested candidates
7614,Everyone
7620,All qualified individuals
7627,All qualified candidates
7629,Everyone
7632,All interested candidates
7633,All interested candidates
7634,All interested candidates
7637,All interested candidates
7641,Candidates with 1+ year Perl experience.
7644,All qualified candidates
7646,All qualified candidates
7649,All interested candidates
7650,All qualified candidates
7652,All qualified candidates
7653,All qualified candidates
7656,All qualified candidates
7659,All interested candidates
7668,Everyone
7669,All interested candidates
7677,All interested candidates
7685,All qualified  candidates
7688,All qualified candidates
7691,All interested candidates
7695,All eligible candidates
7697,Everyone
7698,All qualified candidates
7716,All qualified candidates
7718,All qualified individuals
7719,All interested candidates
7722,All interested candidates
7729,All qualified individuals
7731,All interested candidates
7733,Everyone
7734,All interested candidates
7735,All interested candidates
7736,All qualified individuals
7738,All interested candidates
7745,All qualified candidates
7746,All qualified candidates
7752,All qualified candidates
7753,All interested candidates
7755,"Candidates showing extensive experience
in the relevant field, thus experience in translation of financial and
legal documents."
7760,Everyone
7762,All qualified and interested candidates.
7765,All the interested candidates
7767,All qualified candidates
7768,All interested candidates
7772,All interested candidates
7773,All qualified candidates
7776,All qualified candidates
7783,All qualified candidates
7785,Everyone
7787,All interested candidates
7790,"Undergraduate (Bachelors) or graduate
(Masters) students."
7797,All interested candidates
7802,All qualified candidates
7806,All eligible and qualified candidates
7807,All interested candidates
7808,All interested candidates
7809,All qualified candidates
7812,Everyone
7813,Everyone
7814,All interested candidates
7815,All interested candidates
7817,All interested candidates
7818,All interested candidates
7819,All interested candidates
7820,All qualified professionals
7822,"Experienced specialists with the
background in the financial/ banking system."
7824,All qualified candidates
7830,All interested and qualified candidates
7832,All qualified candidates
7834,All qualified candidates
7835,"Students who have been accepted into a
full-time doctoral (Ph.D.) program in social sciences and humanities at
an accredited university in the countries listed above are eligible to
apply.
Ineligible fields of study include:
- Business Administration/ Management Training;
- Computer Science;
- Finance/ Banking/ Marketing;
- Engineering;
- Hard & Natural Sciences (Physics, Biology, Chemistry, etc.);
- Mathematics;
- Medical Sciences."
7836,All qualified candidates
7843,All interested candidates
7845,"Specialists and practitioners in
Marketing or related fields, Marketing Managers and Executives."
7846,All qualified candidates
7847,All qualified candidates
7852,Everyone
7863,All qualified candidates
7866,Everyone
7869,All qualified candidates
7870,All interested candidates
7872,All qualified candidates
7875,Everyone
7877,All qualified candidates
7894,All interested candidates
7907,Everyone
7910,All qualified candidates
7912,Everyone
7914,All qualified candidates
7918,All interested candidates
7922,All qualified candidates
7924,All interested candidates
7925,All eligible and qualified candidates
7926,All eligible and qualified candidates
7927,All interested candidates
7930,All qualified candidates
7935,All qualified candidates
7938,All interested candidates
7940,All interested candidates
7942,Everyone
7952,All qualified candidates
7953,All qualified candidates
7961,All interested and qualified specialists
7964,All eligible candidates
7969,All qualified candidates
7971,All qualified candidates
7973,Any Armenian citizen
7976,All qualified candidates
7982,All qualified candidates
7985,All qualified candidates
7988,All qualified candidates
7989,All qualified candidates
7990,All qualified candidates
7991,All qualified candidates
7992,All qualified candidates
7995,All interested candidates
7999,All qualified candidates
8001,All interested candidates
8008,All qualified candidates
8010,"All qualified candidates with any level
of experience will be considered from graduate through to Senior
Developer."
8011,All qualified candidates
8012,All interested candidates
8013,All qualified candidates
8014,All interested candidates
8015,All interested candidates
8016,All qualified individuals
8017,All qualified candidates
8018,All qualified candidates
8019,All interested candidates
8020,All interested candidates
8023,All qualified candidates
8031,All interested candidates
8037,Everyone
8040,All interested candidates
8044,All qualified candidates
8047,All qualified candidates
8048,All qualified candidates
8050,Qualified candidates
8056,All qualified candidates
8057,"All interested professionals in the
field of sociology, public health, economics, etc."
8058,All qualified candidates
8059,All interested candidates
8064,All interested candidates
8065,All qualified candidates
8069,All interested candidates
8077,All eligible candidates
8078,All interested candidates
8081,All qualified candidates
8083,Qualified candidates
8087,All interested candidates
8088,Everyone
8094,All interested candidates
8095,All qualified candidates
8097,All qualified candidates
8099,All interested candidates
8101,All qualified candidates
8102,"Candidates with higher medical
education."
8105,All qualified candidates
8108,All qualified and interested candidates
8109,All qualified and interested candidates
8110,All qualified and interested candidates
8112,Everyone
8114,Everyone
8115,All qualified candidates
8116,All interested and qualified candidates.
8117,All qualified individuals
8121,All qualified candidates
8126,All qualified candidates
8127,"Pharmacists, chemists and biologists."
8130,All qualified candidates
8131,All qualified candidates
8132,All qualified candidates
8133,All qualified candidates
8135,Everyone
