Position Title,Requisition Number,Division/College,Interdisciplinary Division/College,Location,Full-time_Part-time,Grade,Posting Date,Responsibilities,Qualifications,Additional Information
PT Lecturer - Doctorate of Law and Policy (Seattle Campus),PTFR000397,College of Professional Studies,Not Applicable,Seattle Campus,Full Time,4,02/21/2019,"Northeastern University is a global, experiential and leading research university, built on a tradition of engagement with business, industry and communities to create a distinctive approach to education, research and service.
Northeastern University is an Equal Opportunity, Affirmative Action Educational Institution and Employer, Title IX University. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by the law. Northeastern University is an E-Verify Employer.
The College of Professional Studies offers flexible, innovative programs that allow working professionals to complete their degrees. CPS offers associate, bachelor’s degree, certificate programs and post-baccalaureate programs in fast-growing fields such as leadership, finance, project management, global studies and international relations, business administration and digital media.
The College of Professional Studies at Northeastern University invites applications for a part-time lecturer position to teach doctoral level courses in research methodology. 
Courses may include: law and legal reasoning, law and policy, public policy theory and practice, research methods, qualitative methods, quantitative methods, and evaluation research.
Responsibilities of the position include:
Teaching one or more 12 week (Fall, Winter and Spring) or 8 week (Summer term) hybrid courses per academic year. Courses meet online and one weekend per quarter at our Seattle campus. This appointment includes pre-term course development (including weekly readings, assignments, and multi-media lectures), and in-term commitments of monitoring online discussion boards, general 
course management, grading, online presence, and face to face participation at monthly course sessions. Training in Blackboard (the online course platform) will be provided.
**Courses meet online as well as one week/end (Fri-Sun) a quarter at our Seattle campus.","The ideal instructor will have a Ph.D. or JD in a relevant social science discipline and research experience. A JD or LLM in addition to a Ph.D. is preferred. A history of successful teaching at the graduate level and experience teaching online is strongly preferred. Candidates should demonstrate familiarity with doctoral level research, adult learners, and action-oriented research.","All courses are offered in hybrid formats. Positions are available contingent upon enrollment, funding and departmental needs. This is a non-tenure track part time faculty position. 
The Doctor of Law and Policy program (DLP) is designed for experienced professionals who are interested in the origins, development, implementation, and analysis of legal and public policy decisions in government and related institutions. The program prepares students to advance their careers within a variety of fields while focusing their thesis research on a precise law and policy topic."
Assistant Cooperative Education Coordinator - Bioengineering and Chemical Engineering,FTFR001219,College of Engineering,Not Applicable,Boston Main Campus,Full Time,4,02/21/2019,"The College of Engineering has experienced significant growth in our graduate and undergraduate programs, and is seeking a Co-op Faculty member to work with our departmental engineering co-op students.   Undergraduate, Masters and PhD student majors on our departmental team include the following disciplines:  Bioengineering, Chemical Engineering, Civil and Environmental Engineering, Electrical and Computer Engineering, Mechanical Engineering, Industrial Engineering/Operations Research/Data Analytics, Energy Systems and Engineering Management.  The Coordinator will work with both graduate and undergraduate students with an initial focus in Bioengineering and Chemical Engineering.
Northeastern University is a national leader in cooperative education in which students alternate between academic study and work experiences.  This is a full time, non-tenure track faculty position at the Assistant Cooperative Coordinator rank.
Responsibilities:
Employer Relations/Job Development:  The Co-op Coordinator is expected to develop partnerships with employers by working with engineering managers and human resources contacts; develop new and maintain ongoing co-op positions and make appropriate referrals for students to apply to these positions; maintain a current understanding of the industry/field, employers, and positions. Activities to support this endeavor include site visits to new and existing employers and outreach to potential new co-op employers via alumni contacts, professional networking, etc.
Preparation of Students:  The Co-op Coordinator will prepare students for the co-op search and work experience, both by teaching co-op related courses each semester, and through individual career advising meetings.  Preparation includes teaching interviewing skills, resume writing, communication skills, professional behavior, ethics, and other relevant learning objectives.  Additionally, the Coordinator will help to prepare the international student population for employment in the United Status.  The Coordinator will be available to advise students during their co-op assignments, and will provide an opportunity for students to reflect about their co-op experiences.
Service:  The Co-op Coordinator will also perform co-op, departmental, college, and university service as agreed upon by the Coordinator and Assistant Dean and Assistant Directors of departmental co-op for the College of Engineering.  Further, she/he will be encouraged to engage in service opportunities outside the University to enhance the reputation of the co-op program and the University.
Integrated Learning: Cooperative education is an integral part of the academic experience at Northeastern and our philosophy is that learning in the classroom is enriched by practical experience, and practical experience enriches classroom dialogue. The Co-op Coordinator will collaborate with college faculty, administration and other co-op coordinators to help students integrate their co-op and academic experiences. She/he will also share knowledge of industry with academic faculty to integrate work-based learning with curriculum-based learning.","A master’s degree or its academic equivalent is required, and a minimum of five years of professional work experience is desired. An academic degree in a related engineering profession, or experience in career development and counseling of engineering students is preferred.   Knowledge of cooperative education is a plus, and excellent written and oral communication skills are expected.  Experience working with an international staff/student population is preferred.  Experience working with a diverse staff/student population and a demonstrated commitment to achieving and maintaining diversity in the workplace is required.   Proficiency in computer/technology and database maintenance is necessary.  Applicants must have personal transportation and a valid driver’s license, in order to travel locally to co-op sites.",
Compliance Operations Coordinator,STFR005295,General Counsel,,Boston Main Campus,Full Time,10,02/21/2019,"•To assist in the development of compliance initiatives. 
•Maintain the University portfolio of policies and procedures and archive all policy changes in the Content Management System for University policies.
•Manage the annual University-wide conflict of interest process including responding to queries, data analysis, collection and preparing management reports.
•Assist the Associate Director of Compliance with University-wide restricted party screening.
•Manage the content of the departmental website.
•Maintain the Compliance Department’s SharePoint site for management plans.","•Bachelor’s Degree and minimum of 2-5 years progressive professional office experience required.
•Must be detailed oriented and able to perform a variety of tasks with ability to prioritize task and demands.
•Ability to work with and identify confidential and sensitive information and to handle with tact and discretion.
•Must have good computer skills and be proficient with network-based computing and the use of windows, word, excel presentation software and database management software.
•Demonstrated ability to master the tasks and challenges associated with senior level administrative support, including ability to be flexible and to adapt to changing priorities.
•Skill in prioritizing assignments to complete work in a timely manner when faced with competing requests, changes in assignments and heavy workloads.
•Ability to make independent judgments with minimal direction and to discern when action of higher level is required.
•Ability to compose concise logical and grammatically correct reports, business correspondence with demonstrated ability to edit and proofread for spelling, grammar and punctuation.
•Oral communication skills to obtain and convey information clearly and independently, including interpersonal skills to interact and communicate with faculty, staff, students, administrations, executives and the public.
•Ability to manage procurement of services from vendors.",
Clinical Operations Manager,STFR005277,Bouve College of Health Sciences,Not Applicable,Boston Main Campus,Full Time,11,02/21/2019,"Reporting directly to the Assistant Dean for Graduate Programs in the School of Nursing, the Clinical Operations Manager’s chief responsibility is to identify, recruit, and retain multiple clinical sites and preceptors for graduate student clinical placements for the School of Nursing. Further, the Manager will develop and implement marketing strategies for new clinical recruitment sites. S/he will meet with nursing professionals in these agencies and establish contacts for further exploration in collaboration with the Assistant Dean, Graduate Program Directors, and Director of Clinical Operations.  Working closely with nursing administration and faculty, the Manager will develop and foster processes for student assignments to clinical sites and preceptors.  The incumbent will collaborate with appropriate units on campus to assure compliance with all university policies. This position requires ability and willingness for travel to clinical recruitment agencies and sites as well as Northeastern’s other campus/site locations.","Bachelor’s Degree required with 3-5 years of administrative experience, preferable in marketing. The candidate must possess outstanding interpersonal skills and the ability to foster strong relationships between the School of Nursing and all potential and actual partners in the clinical enterprise. Must have advanced computer skills, particularly with Microsoft Office products. Other database experience and exposure strongly desired.  Must demonstrate well-developed skills related to organizing, prioritizing, flexibility, and adaptability.  The ability to manage several initiatives and tasks simultaneously are critical for success.","The School of Nursing is situated within the Bouvé College of Health Sciences, the largest health sciences college in the greater Boston metropolitan area. The College has over 200 faculty members, with approximately 2,100 undergraduate and 2,500 graduate students. It is the leading national model for education and research in the health, psychosocial and biomedical sciences and supports the University’s mission of educating students for a lifetime of fulfillment and accomplishment and creating and translating knowledge to meet global and societal needs. Within Bouvé, the Behrakis Health Sciences Center houses a state of the art human performance and exercise laboratory with teaching and research space, including fully equipped exercise stress testing stations, metabolic carts, Lunar DEXA machine, an underwater weighing tank, Cybex and Keiser strength and power equipment, wet lab facilities for blood processing and muscle biopsies. The Arnold S. Goldstein Simulation Laboratories Suite provides a state-of-the-art simulation center for interprofessional education.
Northeastern University is on an exciting trajectory of growth and innovation. The University is a leader in inter-disciplinary research, urban engagement, experiential learning, and the integration of classroom learning with real-world experience. Northeastern University is home to 20,000 students and to the nation’s premier cooperative education program. The past decade has witnessed a dramatic increase in Northeastern’s international reputation for research and innovative educational programs. Northeastern University is situated on the Avenue of the Arts in Boston’s historic Back Bay, four blocks from the Longwood Medical Area, encompassing Harvard Medical School, Boston Children’s Hospital, Brigham & Women’s Hospital, and Beth Israel Deaconess Medical Center, and eight blocks from the Boston Medical Center.
This position requires a criminal background check."
Lecturer/Assistant/Associate/Full Teaching Professor-Boston,FTFR000097,Khoury College of Computer Sciences,,Boston Main Campus,Full Time,4,02/21/2019,"The Khoury College of Computer Sciences at Northeastern University invites applications for one or more positions at the rank of Lecturer/Assistant Teaching Professor/Associate Teaching Professor/Full Teaching Professor beginning in September 2019 and January 2020 at our campus in Boston. In Boston we offer undergraduate, masters, and PhD programs. We are seeking highly-motivated individuals committed to excellence in teaching. Full-time appointments at all ranks are renewable, career-focused non-tenure-track positions with responsibilities in teaching and service. Primary responsibilities include teaching undergraduate and graduate courses.
We are seeking faculty who can teach in one or more of the following areas: Computer Science, Data Science, Cybersecurity and Health Informatics. The successful candidate will create course content and materials and collaborate with colleagues to develop new academic relationships within the university and the business community. Student advising and service to the college and university are an integral component of the position. Opportunities for research and scholarship are possible on the teaching track (with a reduced course load) and several of our teaching track faculty are highly research active.
Khoury College has grown rapidly over the last five years in response to increased student demand at the BS, MS, and PhD level and will continue this rapid growth for the next few years. We invite you to join a fast-moving, ambitious college with an underlying mission that is embodied by our motto of “CS for Everyone.” Khoury College is committed to diversity and inclusion in computer science. We aim to establish a computing population—students, faculty, researchers, and staff—that reflects today’s global society.
Northeastern University is home to 35,000 full/part time graduate and undergraduate students and to the nation’s premier cooperative education program. The past decade has witnessed a dramatic increase in Northeastern’s international reputation for research and innovative educational programs. A heightened focus on interdisciplinary research and education is driving a faculty hiring initiative at Northeastern, advancing its position amongst the nation’s top research universities.
For more information about the College, please visit http://khoury.northeastern.edu/ Northeastern University is located on the Avenue of the Arts in Boston’s historic Back Bay. The College occupies a state of the art building opposite Boston’s Museum of Fine Arts.","Candidates must hold a PhD in Computer Science or related degree from an accredited institution by the start date. Teaching experience at the undergraduate and graduate levels is strongly preferred. Rank of appointment at either the Lecturer, Assistant Teaching Professor, Associate Teaching Professor, or Full Teaching Professor level will be determined on prior teaching experience and will be discussed with candidates during the interview process.
Successful candidates will have demonstrated an expert grasp of knowledge of the field at all levels and be creative in their approach to teaching in an environment of cooperative, interdisciplinary and experiential education. Strong written, oral and interpersonal skills are required in order to communicate effectively with students in person and online.",
Principal Embedded Software Eng,STFR005290,VP Burlington Campus,,Burlington,Part Time,13,02/20/2019,"KRI at Northeastern University, LLC is seeking highly a motivated engineer to join a rapidly growing environment for cutting edge R&D related to unmanned and autonomous systems at our Innovation Campus in Burlington, MA (ICBM).  The ICBM is home to one-of-a-kind research and test facilities for conducting activities related to a multitude of drone, unmanned, and autonomous system technologies. It consists of a state-of-the-art collaboration center as well as indoor and outdoor test ranges for testing aerial and ground systems and other devices such as antennas, navigation, and communications equipment. The lab is designed to be flexible and configurable to support current and future R&D activities related to UAS/UGS in order to advance the state of the research and solve real world problems. Targeted research, development and test activities include counter-UAS (including electromagnetic effects), counter-counter-UAS, networking, Cyber (vulnerability analysis/exploitation and system hardening), forensics, predictive analytics, autonomous operation, swarms, artificial intelligence/machine learning, machine vision, and UAS sensor technology for detection and tracking.
We are seeking someone who is a leader, problem solver, adaptable, self-motivated, and able to work under pressure. The successful candidate will  lead a collaborative engineering team and provide that team with mentoring and guidance. The candidate should have excellent interpersonal, communication, and presentation skills.  This position involves leading teams performing work related to all aspects of development from brainstorming to final delivery.  This position is grant-funded by current research projects with an anticipation of continued cycles","Education
•	BS and 8+ years’ experience or advanced degree in Electrical and Computer Engineering or Computer Science.
Skills
•	Experience with microprocessor system design and printed circuit board design
•	Experience with real-time embedded software development (VxWorks, Embedded Linux, or other RTOS)
•	Experience in Object Oriented Development
•	Experience with multiple languages and able to learn others quickly on the fly.  Desired languages are C/C++, Python, Java, and Matlab
•	Experience working with numerous software IDEs
•	Experience with designing and operating network-based systems
•	Experience with cyber-physical systems, such as drones
•	Experience with wireless and RF systems
•	Experience with software defined radios (Ettus) and digital signal procressing
•	Experience in Agile software development
•	Experience running DevOps programs
•	Experience in full life-cycle software development and documentation
•	Experience overseeing R&D project teams of 10+ people
•	Experience with DoD Programs and full system development cycle from architecture/requirements, through operations and maintenance.
•	US Citizenship
•	Active DoD Secret Clearance or above with ability to obtain Special Access clearance",
Professor of the Practice and Global Director of the Align Program,FTFR001217,Khoury College of Computer Sciences,Not Applicable,Boston Main Campus,Full Time,4,02/06/2019,"Align’s mission is to close America’s tech diversity gap. To do so, we are reinventing Computer Science post-graduate education by scaling an innovative experiential masters in computer science for non-computer science majors. Scaling Align is a priority initiative of Northeastern University’s Khoury College of Computer Sciences.
The Challenge
Women represent more than 50% of all bachelor’s degree recipients but only 18% of CS graduates. Similarly, underrepresented minorities represent 25% of all bachelor’s degree recipients but just 10% of CS graduates. If we can work towards closing these gaps, we will not only address a major economic challenge, but also a profound issue of social equity and inclusion.
Our Solution
The Align MS in CS is an onramp designed to bring a diversity of race, gender and thought into America’s tech workforce. It differs from other MS in CS programs in several key ways: 
•	It is intended specifically for students who did not earn an undergraduate degree in CS.
•	It begins with two semesters of Align academic bridge courses (“the bridge”) to prepare students for Master’s level work.
•	It emphasizes work experience, leveraging Northeastern’s famous co-op program  and a network of 400+ corporate partners in tech.
•	It is taught at night and year-round so students can finish in 2-2.5 years,
•	It is offered at tech hubs across the country (Boston, Charlotte, Seattle, San Francisco, and Silicon Valley, with more locations to come),
•	It seeks to amplify impact by collaborating with other higher ed institutions to scale this solution.
Our pilot to date has demonstrated strong employment outcomes, with graduates landing top jobs and leading firms and earning average salaries of $100,000 or more. Unlike code academies, our graduates are prepared for tech leadership career paths. Unlike undergraduate programs, the program takes 2-2.5 years to complete. And, most importantly, half of our graduates will be women and 25% will be underrepresented minorities.","•	Candidates must hold a PhD in Computer Science or related field and have 15 years of experience in academia
•	Candidates must have experience in the introductory sequence for computer science majors both in teaching and curricular development
•	Candidates must have a distinguished career in the computing field that would qualify for the title of Professor of the Practice.
•	Expertise in applying machine learning to assess and drive outcomes is a plus but not required.",
Open Rank Teaching Professor,FTFR001212,College of Science,,Boston Main Campus,Full Time,4,01/28/2019,"The Department of Chemistry and Chemical Biology seeks two non-tenure-track Teaching Professors to begin in the fall semester.  Primary responsibilities involve teaching courses at the general, organic, physical and analytical chemistry course level, and to provide oversight of the advanced laboratory curriculum. Teach up to five courses for students in the life or physical sciences or engineering students in the day and evening programs at the graduate or undergraduate level depending on departmental need and enrollment. Plan and develop instructional programs and materials, e.g. manuals, protocols. Meet periodically with departmental chair and the director of undergraduate studies to evaluate curriculum. Advise and assist students regarding educational, vocational, and, as appropriate, personal concerns related to their expertise and experience. Meet with other faculty members to monitor student progress and assist students when necessary. Serve on various departmental and College of Science committees, sub-committees and task forces to formulate, evaluate and approve programs.
The candidate will be responsible for departmental and College service and will contribute to faculty efforts to obtain external funding for program development.","Applicant must have PhD, or equivalent, in chemistry and at least 1-2 years of prior teaching experience.  Rank will be determined at the time of hire based on experience.
Candidates should have experience in, or be able to demonstrate a commitment to, working with diverse student populations and/or in a culturally diverse work and educational environment.",
Residence Director,STFR005284,Residential Life,,Boston Main Campus,Full Time,10,02/19/2019,"The Residence Director is a non-exempt 12-month, full-time, professional staff member in the Department of Housing and Residential Life. Residence Directors have direct responsibility for the effective administration and community development of one or more buildings housing a diverse population of 250-700 students. These buildings are served by a paraprofessional staff of 8-16, over whom the Residence Director has direct supervision. The Residence Director’s primary purpose is to develop and maintain an environment conducive to social and intellectual growth as well as the academic success of resident students. This position’s responsibilities include: ongoing student development activities, staff supervision, housing and occupancy administration, student conduct, as well as overall facility and security management.
Residence Directors have offices located in their own buildings. Due to the physical layout of the campus and the residence halls, it is critical that these individuals are able to work autonomously and exercise excellent judgment in their areas of responsibility. All RDs participate in an on-call duty rotation and are often requested to assist other University offices and constituencies to help resolve various concerns.
Due to the live-in requirements of the Residence Director position, it is required that the on-campus apartment provided must be the individual’s primary residence and that person must maintain a high visibility within their residential areas of responsibility.
It should also be noted that RDs may be called upon to respond to crisis situations and that at various times throughout the year, this position requires the individual to work untraditional hours, including evening and weekends.
From time to time, the University will close (usually for inclement weather). Under these
circumstances, the live-in staff will be expected to work from home during scheduled office hours and respond to issues/concerns in their areas. It will not be necessary to report to staff offices unless directed to do so by the Director of Residential Life or their designee.
Additionally, due to the nature of the University and the Co-Op system that exists, the residential campus never closes. Summer responsibilities include working on special projects, with conferences, orientation and summer students.
Each Residence Director is an active participant on committees within the department. Each Residence Director will be given committee assignments (i.e. Training & Development, Academic Initiatives, Selection & Recruitment and others.)
The Residence Director is responsible for implementing protocol to address emergencies/crises/mental health issues including: eating disorders, self-harm incidents, alcohol and drug use/abuse/overdose, and Title IX prohibited offenses. Due to the live-in requirement of the Residence Director, this individual is responsible for their residence hall(s) and any urgent events or crises that appear in the residence halls 24 hours a day, 7 days a week. While the Residence Director is not expected to remain in the building at all times throughout his or her tenure, the live-in requirement allows for prompt, professional responses when these situations arise. Even when not on-call, the RD is expected to respond to major crises (student death, building fire, etc…) in his or her building once becoming aware of them, provided he or she is on campus at the time of the event.
The Residence Directors will be subject to a criminal background check.
The Residence Director can serve in this role for three years. At the discretion of the Director a 4th year can be considered.","Masters degree in College Student Development, Higher Education Administration or related field preferred; live-in experience as a live-in professional or graduate assistant in a residence hall setting; effective supervision, administrative, organizational, written and oral communication skills; experience in conflict resolution, mediation, application of student development theory in a residence hall setting; excellent decision making skills.  Experience supervising, working with and addressing needs of a diverse student community varied in its ethnic composition, sexual orientation aptitudes. Experience with Computer applications (Microsoft suite) is required.","Bachelors Required and Master’s Degree preferred in College Student Development, Higher Education Administration or related field preferred; preferred experience as a live-in professional or graduate assistant in a residence hall setting; effective supervision, administrative, organization, written and oral communication skills; experience in conflict resolution, mediation, application of student development theory in a residence hall setting; excellent decision making skills. Experience working autonomously and are able to exercise excellent judgment in their areas of responsibility. Experience supervising, working with and addressing needs of a diverse student community. Experience with computer applications is required."
Regional Marketing Manager– Charlotte and International,STFR005204,Enrollment Management,,Boston Main Campus,Full Time,12,01/08/2019,"The Marketing Manager is responsible for creating, deploying, tracking and measuring integrated marketing strategies for degree program and audience-specific initiatives offered through Northeastern University within the Charlotte NC campus, as well as emerging international markets/audiences.  Strategies must drive and support annual enrollment goals, increase awareness and contribute to the overall success of Northeastern University and its programs. Plans incorporate an integrated mix of appropriate tactics and media, such as online/web advertising, search engine marketing, direct mail, radio, social, web content, recruitment materials, etc. The Marketing Manager works in collaboration with the Director of Regional Marketing, the Global Enrollment Marketing and Admissions teams, Regional Dean and larger regional campus team to meet goals for assigned projects and portfolios.
Key responsibilities include, but are not limited to: 
• Define the overall marketing strategy, messaging and positioning for degree programs, sectors, audiences and initiatives across Northeastern University’s portfolio of degree programs offered in Charlotte NC.
• Assist in defining the global marketing strategy and positioning to international student audiences across all Northeastern campuses, as well as marketing strategies for international campus locations.
• Develop and manage execution of region specific and international student marketing plans through effective project management.
• Effectively track and measure campaign success and ROI through regular monitoring and reporting of data through the entire enrollment funnel; from lead generation and nurturing through enrollment.
• Work collaboratively with Marketing team to ensure that all marketing reflects consistent and timely on-brand messages that are regionally relevant. Serve as local and global branding SME to ensure consistent tone and voice.
• Build and maintain relationships with internal and external university partners and manage local and global-focused marketing vendors
• Utilize marketing automation tool (Marketo) and CRM (Salesforce) to attract and nurture prospective students through the enrollment process.
• Effectively manage the regional marketing budget for assigned degree programs, disciplines and initiatives.
• Coordinate with central communications team on any Public Relations outreach and oversee any local PR partners 
• Manage local website and social media channels for the campus. Manage web assets and social media tailored for international student audiences.","• This is a position is based in Boston and will be responsible for managing both global marketing initiatives as well as regional marketing/media for the Charlotte, NC campus.
• Experience in working with regionalized marketing/media preferred, as well as experience in marketing to international audiences.  
• Experience with the Asian Pacific and Indian markets and demographic preferred, including relevant media outlets, language preference, and cultural considerations.
• Bachelor’s degree in Marketing, Business or related field with a minimum of 4 year’s experience in marketing. Higher education experience a plus.
• Demonstrated success in developing and implementing integrated marketing strategies.  Strong knowledge and experience in the development and implementation of marketing strategies.
• Working knowledge and experience with a marketing automation tool and CRM tool a plus. Marketo and Salesforce experience preferable.
• Strong project management skills.
• Strong relationship building skills and ability to manage stakeholder expectations.
• Ability to think both analytically and strategically. Understanding of key marketing analytics including conversion rates and optimization.
• Experience with management of marketing budget. 
• Ability to travel, including internationally. Estimated travel 25%
• Flexible, creative thinker open to new ideas and changing priorities within a fast-paced organization.",
Procurement & Contracts Mgr,STFR005282,Facilities,,Boston Main Campus,Full Time,12,02/15/2019,"The Procurement & Contracts Mgr will be responsible to provide sound contracting practices and ensure compliance with University policies and procedures. Under the direction of the Project Controls Manager, the Procurement & Contracts Mgr will be responsible for the preparation, finalization, analysis, and administration of construction, architect-engineering and other agreements and contracts in area of assignment for the Division; leads or assists project managers in selection of procurement methods and strategies; performs specification reviews, prepares, issues, and awards contracts for the University in accordance with policies, procedures and in compliance with all state, federal and local regulations and laws; leads or assists project managers in the preparation and administration of solicitations of contracts; and responds to questions and issues and provides technical expertise and assistance related to associated agreements and contracts.  The Procurement & Contracts Mgr will be the primary liaison between the Facilities Division and other University offices and as needed with external contractors, vendors, and legal counsel. Ensure standardization of contracts, forms and procedures. Follow up on contract negotiation and execution, insurance certificates, and monitor change orders. Regularly meet with Facilities Directors and Managers to understand project scope, budget, timetables, complexity, contractor/subcontractor structure, potential risks, and performance, contracting and close-out issues. Maintain the contract master file and a contract tracking database. Support Facilities Directors/Managers by keeping them advised of the status of documentation of bonds, insurances, certificates, permits and other items that expire and need to be renewed during the life of a contract. Develop a complete understanding of Risk Management/Legal guidelines for Facilities staff and vendors, including required levels of general liability insurance for contractors, and work with Risk Management to determine appropriate insurance coverage on new projects. Work on special projects as assigned by the Associate Vice President –Fiscal and Management Services.","Bachelor’s Degree required (business, engineering, construction management or pre-law preferred) with a minimum of five to seven years of procurement, construction, or project management experience, including at least one (1) year of construction or construction procurement experience.  Must be detail-oriented, well- organized, able to handle multiple priorities simultaneously and able to move work along according to a timetable.  Must be able to work well with different levels and disciplines of design and construction professionals, University supervisors/managers, and legal counsel.  Able to demonstrate knowledge of procurement laws and requirements, solid understanding of generally accepted purchasing principles and practices including preparing proposals for bid, bid evaluation, contract terms and problem resolution, working knowledge of construction procurement activities and demonstrated ability to ensure the integrity of the procurement process from beginning to end.  Proficiency with Microsoft Word and Excel required, MS Access, Project Management or similar software a plus.  Maintain familiarity with contracting trends in the industry, AGC, ABC, NAIOP and especially the AIA contracting body of knowledge.",Criminal Background Check Required
Part-Time Lecturer,PTFR000453,College of Social Sciences and Humanities,,Boston Main Campus,Full Time,4,02/15/2019,"Teach INSH 1000, or similar courses as needed, to undergraduates.
INSH 1000, “Social Sciences and Humanities at Northeastern,” is intended for freshmen in the College of Social Sciences and Humanities. Introduces freshmen to the liberal arts in general. Offers students an opportunity to become familiar with their major, to develop the academic skills necessary to succeed (analytical ability and critical thinking), to become grounded in the culture and values of the university community, and to develop interpersonal skills—in short, to become familiar with all the skills needed to become a successful university student.",A bachelor’s degree is required. Teaching or advising experience is preferred.,
PT Lecturer Information Retrieval,PTFR000406,Khoury College of Computer Sciences,,Online,Part Time,4,01/01/2019,"The Khoury College of Computer Sciences invites applications for the position of Part-time online development and teaching faculty. Primary responsibilities will be developing/teaching an online course in the area of information retrieval. We are looking to begin course development during the Summer/Fall of 2019. Salary is competitive and additional teaching opportunities are available. For more information about the college, please visit https://www.khoury.northeastern.edu",Master’s degree required; Ph.D. in Computer Science or related fields preferred. Previous teaching experience.  Industry experience in the subject area is required. Course development or authoring experience is strongly preferred.,"The course provides an introduction to information retrieval systems and different approaches to information retrieval. topics covered include evaluation of information retrieval systems; retrieval, language, and indexing models; 
file organization; compression; relevance feedback; clustering; distributed retrieval and metasearch; probabilistic approaches to information retrieval; web retrieval; filtering and recommendation systems; cross-language IR; multimedia IR; and machine learning for information retrieval.
For similar positions in other areas please refer to
REQ# PTFR000324 Software Development 
REQ# PTFR000404 Mobile App Development
REQ# PTFR000402 Computer Systems"
PT Lecturer Software Development,PTFR000324,Khoury College of Computer Sciences,,Online,Part Time,4,02/15/2019,"The Khoury College of Computer Sciences invites applications for the position of Part-Time online development and teaching faculty. Primary responsibilities will be developing/teaching an online course in the area of managing software development.   We are looking to begin course development during the Summer/Fall of 2019. Salary is competitive and additional teaching opportunities are available. For more information about the college, please visit https://www.khoury.northeastern.edu/",Master’s degree required; Ph.D. in Computer Science or related fields preferred. Previous teaching experience.  Industry experience in the subject area is required. Course development or authoring experience is strongly preferred.,"This course covers software life cycle models (waterfall, spiral, and so forth), domain engineering methods, requirements analysis methods (including formal specifications), software design principles and methods, verification and testing methods, resources and schedule estimation for individual software engineers, component-based software development methods and architecture, and languages for describing software processes. Includes a project where some of the software engineering methods (from domain modeling to testing) are applied in an example.
For similar positions in other areas please refer to
REQ# PTFR000406 Information Retrieval 
REQ# PTFR000404 Mobile App Development
REQ# PTFR000402 Computer Systems"
Academic & Career Advisor (Silicon Valley),STFR005156,Office of the Chancellor,,Silicon Valley,Full Time,11,12/19/2018,"The Northeastern University College of Professional Studies invites applications from qualified individuals to provide graduate and undergraduate students a personalized academic and career coaching experience from the point of admission through graduation and beyond. Each coach will partner with an assigned caseload of students to facilitate the development of an academic and professional development plan that incorporates intentional career planning and exploration, experiential learning, and engagement with networks and communities.
While the Academic & Career Advisor (Silicon Valley) will have primary responsibilities on the Northeastern University/Silicon Valley Campus, the incumbent will attend remote meetings and implement projects for specific position responsibilities and needs with Northeastern University, Boston.","Candidates should hold a master’s degree (or equivalent work experience) and have a track record of strong academic and professional performance. Candidates must possess a minimum of 3 to 5 years professional experience, characterized by increasing levels of responsibility, preferably in an academic or student affairs/student services environment or in HR/ corporate recruiting/ or related area; Experience in a service or leadership role such as an academic advisor/counselor/ coach/ human resources/client or customer service professional or similar capacity preferred. The successful candidate will have a passion for educating and supporting students in a higher education environment, demonstrated sensitivity to the needs of students (particularly adult learners, international students, and online learners) and knowledge of professional development and career advising practice. Hold professional certifications in related fields will be considered a plus.
Candidates will serve students studying in Boston, Charlotte, Seattle, Silicon Valley, and online, and are sought in both these locations and nationally.
Required attributes:
The successful candidate will have/be:
• Passion for educating and supporting students
• Knowledge of professional development and career advising practices
• Familiarity with corporate recruiting practices, hiring trends, and employment market channels
• Demonstrated sensitivity to the needs and concerns of a diverse student population;
• Experience working with adult learners, international students, and online students;
• Student-centered and have a strong sense of responsibility for student success;
• Detail-oriented and organized;
• Strong prioritization, time management, and follow-through skills;
• Excellent interpersonal, writing and presentation skills;
• Comfortable using multiple mediums to communicate, esp. in the online environment;
• Current and stay abreast of research in the field of academic and student affairs;
• Able to work collaboratively and independently in a rapidly changing environment;
• Initiative to exercise sharp critical thinking skills and sound judgment to problem solve independently within organization guidelines and policies;
• Creative in coming up with ideas to improve service to students;
• The ability to discern appropriate level of communication with multiple audiences and maintain confidentiality around complex and sensitive issues to be in compliance with applicable ADA, FERPA, SEVIS, and other applicable state, federal, University, and College of Professional Studies guidelines;
• Comfortable operating in a fast-paced work environment, with demonstrated ability and comfort to efficaciously handle multiple tasks and projects;
• Proficient in the use Microsoft Office Suite tools products;
• Certification (or be willing to obtain such certification) in one or more areas directly related to the work of the position or one’s professional field, such as MBTI, career certifications, PMI, APR, etc.
• Flexible in work assignments and work hours to include some evenings and weekends.
Desired Attributes:
It is highly desirable for the candidate to
• Have industry experience related to one or more programs offered
• Have experience in working with international students in an academic advising, academic support, and /or career development context;
• have an interest in conducting research on effective practices in direct service to students;
• have strong technological skills and experience using various software, programs, and tools;
• have experience with Salesforce (Customer Relation Management system) and Banner mainframe database system 
• Have an interest in working with students to navigate and understand career paths in the following areas:
-Analytics
-Leadership and Management
-Regulatory Affairs in Science and Industry
-Government and Civic Engagement","Please note: This position is located in Silicon Valley, CA"
