"title","company","location","description","salary","link"
"Senior Software Engineer - Security","Bill.com","Palo Alto, CA","About Bill.com

Bill.com is the leading business payments network, with 3 million members paying and getting paid over $52 billion per year. Bill.com saves companies more than 50% of the time typically spent on financial back-office operations and helps businesses get paid 3 - 4 times faster by automating end-to-end payment processes. The company is the choice of 4 of the top 10 U.S. banks; leading accounting software providers QuickBooks Online and Xero; and over 50 percent of the top 100 U.S. accounting firms. It is the only business payments solution endorsed by the American Institute of CPAs (AICPA). The recipient of more than 70 awards, Bill.com proudly received multiple PC Magazine's Editor's Choice Awards and CEO René Lacerte was recently recognized as an E&Y Entrepreneur of the Year.

Mission:

Bill.com is looking for a senior software developer to join our Security Engineering team to help secure our platform. You will help protect our customer's data and payments by implementing industry best practices, building out tools and libraries, and evangelizing a security first mindset within the engineering organization.

Responsibilities:
Implement security libraries and frameworks to enable efficient and consistent adoption of security best practices.
Understand the ongoing threats to the platform and work with engineering teams to protect our customer’s data and payments.
Review high level designs and security-critical code merge requests to provide feedback on proposed changes for any security implications.
Expand the security knowledge of our engineering teams by providing content and technical guidance to improve secure coding & testing practices.
Be a security advocate into engineering teams for new security initiatives driven by the security council.
Desired Experience and Skills:
3+ years of experience in an Application Security related field
Working knowledge of backend design and modern client-side UI frameworks, and a technical understanding of how to protect applications from common attack vectors and vulnerabilities. Experience with Java or Python a plus.
A strong understanding of web application security risks and control (e.g., OWASP Top 10)
A strong understanding of cryptography - both asymmetrical and symmetrical encryption
Experience in securing applications and services in both, on-prem and public cloud models. Experience with cloud native solutions (AWS) a plus.
An understanding of how security fits into a modern agile SDLC process with CI/CD.
Experience in a highly-regulated environment (PCI-DSS, SOC1/2, HIPAA, or similar).
Bill.com Culture:
Humble – No ego
Fun – Celebrate the moments
Authentic – We are who we are
Passionate – Love what you do
Dedicated – To each other and the customer","$129K-$210K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1621&ao=566215&s=58&guid=0000016a343c39dd865d88ba6b717bcb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b93f0929&cb=1555654705499&jobListingId=3125466656"
"Embedded Software Engineer - Senior Consultant","Cambridge Consultants","Boston, MA","Full Details
TYPE OF WORK

As a consultancy with hundreds of world-class engineers and a reputation for doing the difficult bits, we take on a large variety of technically challenging projects. As an embedded software expert and lead, you will help create the next generation of popular connected consumer devices, improve a satellite network’s performance, or help teams of robots collaborate to rapidly navigate warehouses without colliding. Each project is a new opportunity to learn as well as deliver.

DAY TO DAY
You will engage with clients to gather requirements and needs for new projects. Work with them to gain an understanding of how we can help them from both a software and a systems perspective.
Work with our experienced team of professional Engineers, Human Factors, Project Managers and Business Developers to architect systems to solve complex client needs.
Lead teams to develop software systems and components including continuous integration/delivery and quality assurance.
Facilitate integration of embedded software components into the larger project ecosystem often including cloud, web, mobile, and radio components, beyond the embedded devices themselves.
Support Business Development and Project Management activities by supporting the bid process, schedule creation, and team formation.
Support the embedded software team’s success through recruiting, mentoring, and technical leadership.
Lead and support internal efforts to develop new technology offerings.
WHAT YOU NEED TO SUCCEED

MUST HAVE:
BS In Computer Science, Electrical or Computer Engineering
Authorized to work in the US without sponsorship
Good communication skills
15+ Years of industry experience
Track-record of delivering products in a lead / architect role
Technical leadership of focussed teams
Deep understanding of software development and product development processes
Experience with modern team, project and software management tools such as Agile/JIRA/git
Solid/expert level embedded C experience
Algorithm development
Some deep experience in an area important to our clients such as:
RF connectivity
Advanced audio/video technology
IoT and cloud infrastructure
Experience with a variety of common low power / low cost microcontrollers and SOCs
Experience with common embedded operating system techniques including
Bare-metal schedulers, DMA, BSPs, HAL, serial busses
RTOS
Threading and concurrency issues
Able to navigate a schematic and use common firmware debugging tools such as:
Logic analyser, scope, and DMM
JTAG/SWD
BONUS POINTS:
Advanced degree
Previous experience in a consultancy
Strong ability in RF connectivity such as Wi-Fi, BLE, LTE
Embedded Linux kernels and drivers, device trees and build systems
ABOUT US

For over 60 years, Cambridge Consultants has led the way in innovative product development.We are the development partner of choice to many of the Fortune 500, as well as the virtual development team for ambitious startup companies.

With offices in Boston and Seattle, Cambridge (UK), and Singapore we specialize in developing exceptional products in record time for clients around the world. This expertise further allows us to provide insight on a range of technology critical issues and markets.

View case studiesWhat to expect when applying

Benefits
Choice of medical dental and vision plans
Flexible spending accounts
18 vacation days for full time employees
Competitive base salary
Pay for performance
Profit share bonus plan based on company and individual performance
401K with discretionary company match
Life Insurance
Relocation assistance, if applicable","$122K-$194K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1622&ao=522832&s=58&guid=0000016a343c39dd865d88ba6b717bcb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8f373ae5&cb=1555654715887&jobListingId=3157475407"
"Computer Vision Software Engineer","Zebra Technologies","Holtsville, NY","Overview

The position is for a Senior Software Engineer to work on algorithms for computer vision applications for Zebra Data Capture devices within a collaborative product development / research and development team.

Responsibilities
Work within a larger team to create next generation computer vision products.
Create algorithms using computer vision techniques and machine learning to extract features in images.
Specify and apply image pre-processing to correct distortion and filtering of non-linear image artifacts.
Prototype concepts in Matlab using image processing toolkit in Matlab.
Translate and optimize algorithms from Matlab to C/C++ and/or Python
Qualifications
Minimum MS or BS with specific experience. PhD preferred. • Proficiency in C/C++. • Experience in Python• Course work or experience in machine learning, computer vision, and image/video processing. • Experience working within a product development team. • Software development process experience (Agile, SCRUM)• Experience with Agile programming techniques is a plus. • Experience with source code control (GIT, SVN, perforce, etc.)• GPU programming is a plus. • Code optimization experience is a plus.","$89K-$157K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1623&ao=180320&s=58&guid=0000016a343c39dd865d88ba6b717bcb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e982b583&cb=1555654722159&jobListingId=3082509697"
"Sr Frontend Software Engineer","IntelliSource","Denver, CO","Want to work on massively scalable consumer systems? Re-invent how consumers buy energy? Have a measurable impact on one of humanitys biggest challenges?

IntelliSource is searching for a Senior Frontend Software Engineer to join our renewable energy partners team in Denver. You'll work alongside passionate engineers engaged in the design and development of a product that is changing the world. As a Senior Frontend Engineer, youll help implement features for all customer facing applications and will also lead the way in transforming large portions of our stack to Serverless.

Responsibilities:
Help establish the standards for the team in areas of technical excellence
Work collaboratively with Product Management and our UX designers to develop applications that can be tested easily and will perform well under a variety of network conditions
Champion adherence to best practice development methodologies
Facilitate automated testing so all teams can innovate at a rapid pace
Mentor and build skills across the team through effective standards setting, code reviews, and pairing
This description indicates the general nature and level of the qualifications and duties required of employees in this job classification, as well as the essential functions a person must be able to perform to do this job. It is not designed to be a comprehensive inventory of all duties and qualifications required of employees assigned to this job
Qualifications:
4+ years of experience developing complex enterprise applications with JavaScript. Position Requirements
Bias towards mentorship and skill-building
Some breadth and depth in SAAS application design and implementation
Excellent communication skills
Good team player
Strong JavaScript application development of browser applications
Strong knowledge of HTML5 (DOM, markup, browser APIs) and CSS3 (SASS preprocessor, OOCSS, modular)
Strong skills with writing unit and integration tests in JavaScript using Mocha, Chai, Sinon Experience with React and Flux is a big plus
More specifically Redux as flux framework
Ability to work with JS build/task runners like Webpack, Gulp, Grunt and NPM run scripts
Strong knowledge of Git, version control, branching strategies, merging, and rebasing
Performance optimization experience including browser page rendering, network traffic, and back-end system tuning
Solid understanding of MVC architecture and frameworks
Strong focus on Automation - Continuous Integration/Deployment
Familiarity with Amazon Web Services, S3, CloudFront Education
BS/MS in CS or equivalent is preferred
ABOUT INTELLISOURCE - Our business - and our approach - is personal.

IntelliSource has 19 years of business process outsourcing experience bringing innovative solutions through people, processes and technology to maximize Fortune 500 and fast-growth companies' operations and workforce management. IntelliSource has a proven track record as a trusted partner to its clients and associates - empowering businesses and people to reach their full potential.

IntelliSource is an equal opportunity employer. No employee or applicant will be discriminated against in any condition of employment because of race, color, national origin, sex, religion, age, disability, veteran status or any other status protected by law. IntelliSource is a free service to you. We are an E-Verify Employer.","$85K-$143K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1624&ao=561952&s=58&guid=0000016a343c39dd865d88ba6b717bcb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b8456fb9&cb=1555654730481&jobListingId=3160946435"
"Senior Software Engineer - Backend","Engagio","San Mateo, CA","What we're Building

Engagios Account Based Marketing and Sales platform enables teams to orchestrate highly-scalable human connections. Our all in one ABM solution helps you engage your best prospects and customers, get deeper insights at the company level, and communicate with personalized, relevant content. Join the experts in the Account Based Everything revolution! Engagio has over $32 million in funding from Norwest, FirstMark, Storm Ventures, and First Round Capital. Engagio is hiring awesome, entrepreneurial employees to join the team at Engagio headquarters in downtown San Mateo, CA.

As a Senior Engineer at Engagio, youll be a key contributor and also leading the architectural decision of our SaaS platform for account-based sales and marketing. Ideally, youre comfortable going deep on data and analytics, building products to help Engagios customers reach insights that transform their sales and marketing activities.
Requirements
Great experience in Java server side programming and building scalable, reliable services using a loosely coupled SOA. Experience with Scala a strong plus
Solid skills in relational databases technologies. Experience with PostgreSQL is a plus
Experience in distributed caching systems such as Redis and messaging systems such as RabbitMQ, Kafka
Aptitude for optimizing application/queries for performance
Proven project leadership skills demonstrated by having led the development and roll out of new features
Excellent communication and team collaboration skills
Familiarity with agile software management methodologies
Excellent analytical and design capabilities
Qualifications
Degree (minimum BS, ideally MS) in computer science or a related field
5+ years of experience in building scalable, distributed SaaS applications
Responsibilities
Architecting functional and scalable backend services using service oriented architecture practices and software design patterns that help power Engagio's ABM platform
Designing elegant and clean public facing REST API's
Developing robust database schemas and data models that closely reflect relationships between entities in the Engagio product
Building and debugging components of a reliable data ingestion platform using schedulers, job executors and principles of distributed systems
Improving code quality by building and maintaining a reliable testing framework
Using agile software methodologies to work effectively in cross functional teams to understand and deliver a product that satisfies Engagio customer needs
Provide technical support and expertise to support broader strategic initiatives and resolve customer issues
Mentor junior engineers technically and empower teammates to achieve a higher level of performance
You will have SSH access to Production and are responsible for troubleshooting problems in Production.
You will have the ability to view and modify source code in the source code repository and deploy into production.
Mission
Build a great software company, united by a common vision of the 1:1 future that uses data and analytics to make every interaction more intelligent, more personalized, and more relevant.
Values
1. Freedom and Transparency
2. Happiness and Positivity
3. Excellence and Execution
Perks include:
Free Philz coffee
Medical, dental & insurance
401k
Commuter Benefits
Guaranteed annual 3.14% pay increase
Great downtown San Mateo location Close to Caltrain
Flexible work hours
Unlimited vacation
Fun monthly events
Fully stocked kitchens
Weekly educational classes & catered lunch
*Engagio is an equal opportunity employer. *
Candidates must complete in order to qualify for the position:
Criminal background check
Reference checks
Education verification","$126K-$208K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1625&ao=366749&s=58&guid=0000016a343c39dd865d88ba6b717bcb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8349ed03&cb=1555654737734&jobListingId=2211784658"
"Sr. Front-End Software Engineer","JumpCloud","Boulder, CO","Sr. Front-End Software Engineer

Were looking for a Senior front-end engineer to be the next member of our awesome engineering team. You will be an integral member of the development team helping to design and build the next generation of server management and directory software. At JumpCloud were solving complex problems in the cloud using great technologies. We built a disruptive new technology called Directory-as-a-Service® and it is reinventing a two decade old monopoly, giving organizations freedom of choice with their IT solutions.

What youll be doing: You will work with our front-end engineers across teams, providing technical leadership while making enhancements and adding new features to our product. Using your JavaScript refactoring expertise, you will assist our team in replacing Backbone models, views and controllers from our legacy code base with modern Vue.js components. You will contribute to API development, providing your guidance to the server side engineers and ensuring the API meets the needs of both internal and external clients. Additionally, your input with assure that our product architecture can support our future scale and accelerating growth in collaboration with teams throughout the broader engineering organization.

Working with other passionate front-end engineers you will receive and provide coaching and feedback as part of our best practices. Youll contribute to design, engineering and product management to ensure were building great new features for our clients.

Were looking for
7+ years of programming experience in JavaScript. Bonus points if youve developed your own custom JavaScript framework.
Deep experience with one or more modern JavaScript frameworks (Backbone.js, Vue.js, ReactJS, Ember, Angular).
Broad understanding of modern JavaScript frameworks.
A willingness to learn and embrace new technologies, languages, and frameworks.
A strong front end foundation: HTML, CSS, vanilla JavaScript, Webpack, and Node.
Ability to analyze and remediate client side performance bottlenecks.
Someone who writes controls vs bolting on a UI library that looks neat.
Experience in developing SaaS applications in the cloud, (AWS/GCE is a plus.)
A strong team player that wants to win together. We are both Agile and agile, and were a team thats constantly working together.
Willingness to provide and receive constructive feedback in peer reviewed pull requests.
Passion for product and customer, not just for code.
Bonus points:

You are picky about CSS.
Knowledge of LDAP, SAML, RADIUS, and/or AD.
Where youll be working: Our corporate headquarters in downtown Boulder, right next to the Boulder theater.

Why JumpCloud? Youll have a voice in the organization, with a seasoned executive team, a supportive board and a proven market that our customers are excited about.

This is a great place to share and grow your expertise! Youll work with top developers and product folks as well as some of the best architects in the country to build a worldwide customer base. Were out of the box thinkers, so your unique approaches to building a high performance product will be valued!

If you enjoy solving challenging technical problems using the latest technologies, then this is the job for you.","$101K-$168K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1626&ao=543272&s=58&guid=0000016a343c39dd865d88ba6b717bcb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3c7241e1&cb=1555654747042&jobListingId=3160045656"
"Senior Software Engineer - Frontend","Engagio","San Mateo, CA","What we're Building
Engagios Account Based Marketing and Sales platform enables teams to orchestrate highly-scalable human connections. Our all in one ABM solution helps you engage your best prospects and customers, get deeper insights at the company level, and communicate with personalized, relevant content. Join the experts in the Account Based Everything revolution! Engagio has over $32 million in funding from Norwest, FirstMark, Storm Ventures, and First Round Capital. Engagio is hiring awesome, entrepreneurial employees to join the team at Engagio headquarters in downtown San Mateo, CA.

As a Front End Engineer at Engagio, you'll be a key contributor to our SaaS platform for account-based sales and marketing.

Youll apply your expertise at JavaScript, CSS, HTML5, and related web application technologies to design and develop a rich single-page application that combines consumer-grade usability and design sensibility with enterprise-grade performance, reliability, and functional completeness. Youll use modern web development tools like React.js, Redux, ES6, and Sass.

Were looking for engineers who will thrive in a start-up environment: youll take responsibility for significant parts of the product while collaborating actively as part of a small, talented team. Youll work out of our downtown San Mateo office (right near the Caltrain).
Qualifications
BS in Computer Science, Engineering, related field, bootcamp, or equivalent experience.
4+ year of experience as a front end software engineer
Authorization to work in the United States
Requirements
Experience implementing interfaces using HTML and CSS.
Experience with client-side JavaScript.
Experience with a front-end framework like Ember, Angular, React/Redux.
Strong understanding of web fundamentals.
Effective communicator.
Responsibilities
Work closely with product owners and engineers as you scope and implement individual-level technical solutions with minimal guidance.
Ensures quality of code within team by participating in code reviews and technical design discussions.
Evaluates trade-offs and help effectively prioritizes tasks within your team in alignment with strategic initiatives and company goals.
Identify opportunities to help teammates in achieving team goals.
You will have SSH access to Production and are responsible for troubleshooting problems in Production.
You will have the ability to view and modify source code in the source code repository and deploy into production.
Mission
Build a great software company, united by a common vision of the 1:1 future that uses data and analytics to make every interaction more intelligent, more personalized, and more relevant.
Values
1. Freedom and Transparency
2. Happiness and Positivity
3. Excellence and Execution
Perks include:
Free Philz coffee
Medical, dental & insurance
401k
Commuter Benefits
Guaranteed annual 3.14% pay increase
Great downtown San Mateo location Close to Caltrain
Flexible work hours
Unlimited vacation
Fun monthly events
Fully stocked kitchens
Weekly educational classes & catered lunch
*Engagio is an equal opportunity employer. *
Candidates must complete in order to qualify for the position:
Criminal background check
Reference checks
Education verification","$126K-$208K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1627&ao=366749&s=58&guid=0000016a343c39dd865d88ba6b717bcb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f2fea075&cb=1555654755332&jobListingId=2211785010"
"Computer Vision Engineer","SoftWear Automation","Atlanta, GA","Softwear Automation is disrupting the $100B sewn products industry by reducing sewing labor costs via cutting-edge robotics. We are excited to be changing the clothing manufacturing industry in a way that hasn’t been seen since the Industrial Revolution and are in need of a few smart, passionate people to join our growing team!

Role Description:

As a member of a highly collaborative and groundbreaking team, you will be challenged to build out our design-to-product CAD software pipeline and write robot control code.

We are looking for a machine vision specialist to help us develop image-processing algorithms to support our fabric handling, identification, and defect detection systems. You will be working closely with the rest of our team to build the technology that will allow clothing brands to respond even more quickly to customer needs and desires.

Duties & Responsibilities:
Research and implement computer vision and machine learning primitives
Collaborate and contribute with other engineers to facilitate creation of novel embedded architectures
Find the optimal balance between setting and maintaining a research direction, and day-to-day delivery of robust and flexible services
Research, develop, maintain and build state-of-the-art algorithms to analyze images
Execute model building
Determine implementation of algorithms
Critical Skills & Experience:
Solid machine/ computer vision experience
3+ years of continuing development skills: C++, Linux environment etc
Proficient in algorithms and mathematics
Deep understanding of software architecture and object oriented programming/design
Collaborate with hardware architects to facilitate creation of novel embedded architectures for future deep learning workloads
Flexible, can-do attitude
Desired Experience:
Experience with OpenCV
Experience with CUDA","",""
"Senior Software Engineer - UI","WatchGuard Technologies","Seattle, WA","Why Work for WatchGuard?

At WatchGuard we create smart security, simply done. Were a leader in building cyber security hardware, wireless, and cloud solutions that protect small and midsize businesses, and distributed enterprises worldwide. Our award-winning network security solutions provide layered, enterprise-grade protection that is easy to deploy and manage. Whether you are an industry veteran, or at the beginning of your career, now is an amazing time to work in the security industry, and theres never been a better time to be at WatchGuard.

We love solving the industrys toughest challenges, and our innovation keeps our customers ahead of increasingly sophisticated hackers, which has fueled record revenues. Were heavily reinvesting in the company, and driving rapid acceleration across all aspects of our business. As a result, our employee base has nearly doubled in the last three years, organically and through acquisition.

Our company culture places intense focus on our customers and employees. From the newest employee to our CEO, you'll find that each person at WatchGuard embodies our core values: accountability, passion for success, community building, and maintaining a customer focus in all things.

About the Position

We are seeking a Senior Software Engineer UI to design WatchGuard UI configure components that support WatchGuards security products. You will be also working on WatchGuard Cloud applications in an AWS public cloud environment to manage multiple WatchGuard security products. At WatchGuard, you will be a member of our agile development team where we are developing new products and solutions for our end users. We believe by leveraging new and emerging technologies we can enable business outcomes and improve performance. If you are looking for a challenge, like to solve problems, and can get stuff done, then we want to meet you.

Position Responsibilities
Design, develop, debug WatchGuard UI configure components of Firebox product, including WEBUI, WSM (WatchGuard System Manager)
Design and build fault-tolerant and fail-safe WatchGuard cloud applications and services
Decomposition of assigned problems as well as design, and implementation of features, consistent with company quality and security practices.
Documents, socializes, and incorporates input from engineers and UX designers on their designs.
Works with Product Management, as required, to resolve product requirement questions.
Estimates size and scope of development tasks to facilitate sprint planning and reliably completes stories in the assigned sprints.
Creates proper documentation, both in code, Jira tickets, and on Confluence. For example, each story assigned in a sprint should have groomed Jira stories so that developers, product owners, and QA engineers understand the problem being solved.
Unit tests all deliverables and fully understands how the end customer will use our products.
Participates in code reviews for themselves and others and ensures all of their personal changes have been appropriately reviewed.
In sprint retrospectives, may contribute insights for continuous improvement.
Provides support to QA as necessary to isolate and resolve issues found during testing.
Partners with Technical Support team to troubleshoot, debug, and resolves escalated issues.
Collaborates with all WatchGuard functions such as IT Development, Marketing, Product Management, Documentation and Training to make sure we create the best solutions possible for WatchGuard customers.
Independently manages own time according to commitments and priorities.
Provides some mentoring and assistance to more junior engineers.
Skills and Qualifications
Familarity with object-oriented programming
Proficiency with programming languages with Python, JavaScript, CSS, REST, XML, JSON, and/or web service experience.
Familiarity with tools/systems like Jira, Confluence, GitHub, Office suite, Linux
Experience with agile methodologies, lean, and CI
Team player who has strong technical, analytical, and problem-solving skills
Experience
BS degree in Computer Science or related technical discipline is required
5+ years proven software engineering experience with full software development cycles
Must have proven experience with object-oriented programming
Must have proven experience with Python, JavaScript, CSS, REST, XML, JSON, and/or web service experience
Experience with networking device production is a plus
Experience with Java and Java Swing is a plus
AWS/Azure experience is a plus
As an Equal Opportunity Employer, we are committed to a diverse workforce.
WatchGuard participates in E-Verify.","$103K-$170K (Glassdoor est.)",""
"Sr Software Engineer II","Raytheon","Troy, MI","Raytheon Professional Services is looking for a Software Developer in their Troy, MI office. This position is responsible for developing and managing Learning Management Systems (LMS) web-based applications using various tools and technology to include ServiceNow and Cognos. The successful candidate must be highly motivated, willing to accept new challenges, and be able to complete tasks with minimal direction, including personal study in order to stay current with emerging technologies.

Specific job duties will include:
Database design and development using SQL Server 2014 and later
Building SQL Server SSIS packages
Creating and modifying reports for compliance reporting
Programming and testing various applications
Analyzing requirements in order to develop technical specifications
Written and verbal communications with internal and external clients or vendors to develop system requirements and investigate system issues
Required Skills:
Minimum of six (6) years experience in software development utilizing HTML, XML, Java Script, ASP, ASP .NET, Visual Basic, and VB Script
One (1) year experience in development with ServiceNow
One (1) year of experience in development with Cognos
Ability to develop and manage various Learning Management Systems
Strong working knowledge of Internet Explorer, Chrome, and other browsers, and browser technology
Working knowledge of Team Foundation Server or similar version control software
Knowledge of database technology, SQL Server 2014 is required
Ability to recommend solutions / influence other team members and customers with regard to best practices
Desired Skills:
SQL Server SSIS
JQuery
MVC architecture experience
Required Education:
Bachelors degree in Computer Science, Software Engineering, or related discipline
Important to Note:
This position requires the successful candidate to report to the Troy, Michigan office on a daily basis; relocation assistance is not available for this position.
This position requires either a U.S. Person or a Non-U.S. Person who is eligible to obtain any required Export Authorization.
134531

Raytheon is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.","$79K-$117K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1630&ao=118619&s=58&guid=0000016a343c39dd865d88ba6b717bcb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_21c42bf2&cb=1555654777161&jobListingId=3198778980"
"Senior Applied Research Engineer - Advanced Computer Vision & Graphics","Sony Electronics","San Jose, CA","We look for the risk-takers, the collaborators, the inspired and the inspirational. We want the people who are brave enough to work at the cutting edge and create solutions that will enrich and improve the lives of people across the globe. So, if you want to make the world say wow, let's talk.

The conversation starts here. If this role matches your ambitions and skillset, let's get started with your application. Take a look at our other open positions too. Our many opportunities can lead to infinite possibilities.

Sony Electronics US Research Center located in San Jose, CA, currently has an opening for a Senior Applied Research Engineer. As a Senior Research Engineer, you will be involved in a multidisciplinary research effort on cutting-edge computer vision and computer graphics algorithm proposal and development. Special interest and focus include but not limited to 3D visualization, virtual reality and immersive video processing research for the future Sony products and services.

Required qualifications:
Ph.D. in Computer Science, Electrical Engineering, or a related field
Strong research background and demonstrated record of innovation in the area of computer vision, computer graphics, machine learning, or image/video processing.
Experience in 3D capture/modeling, multi-view 3D reconstruction, active sensing or image based rendering.
Good familiarity with Matlab, Python or C/C++ for rapid algorithm prototyping.
Strong research track record.
Excellent analytical and mathematical skills
Ability to work independently and/or in a team environment
Strong communication and presentation skills
Ability to travel domestically and internationally on occasion.
Preferred qualifications:
Familiarity with Unity, Unreal Engine, Maya, or related graphic platforms.
Two or more years of related professional experience.
Sony Electronics is an Equal Opportunity Employer that values employees with a broad cross-cultural perspective. We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond. All applicants will receive fair and impartial treatment without regard to race, color, religion, sex, national origin, ancestry, citizenship status, age, legally protected physical or mental disability, protected veteran status, status in the U.S. uniformed services, sexual orientation, gender identity or expression, marital status, genetic information or on any other basis which is protected under applicable federal, state or local law.

We sincerely appreciate and thank you for your interest in Sony Electronics Inc.

For a complete list of Sony Electronics Inc. Job Opportunities visit:

www.sonyjobs.com

Sony Electronics US Research Center located in San Jose, CA, currently has an opening for a Senior Applied Research Engineer. As a Senior Research Engineer, you will be involved in a multidisciplinary research effort on cutting-edge computer vision and computer graphics algorithm proposal and development. Special interest and focus include but not limited to 3D visualization, virtual reality and immersive video processing research for the future Sony products and services.

Required qualifications:
Ph.D. in Computer Science, Electrical Engineering, or a related field
Strong research background and demonstrated record of innovation in the area of computer vision, computer graphics, machine learning, or image/video processing.
Experience in 3D capture/modeling, multi-view 3D reconstruction, active sensing or image based rendering.
Good familiarity with Matlab, Python or C/C++ for rapid algorithm prototyping.
Strong research track record.
Excellent analytical and mathematical skills
Ability to work independently and/or in a team environment
Strong communication and presentation skills
Ability to travel domestically and internationally on occasion.
Preferred qualifications:
Familiarity with Unity, Unreal Engine, Maya, or related graphic platforms.
Two or more years of related professional experience.
Sony Electronics is an Equal Opportunity Employer that values employees with a broad cross-cultural perspective. We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond. All applicants will receive fair and impartial treatment without regard to race, color, religion, sex, national origin, ancestry, citizenship status, age, legally protected physical or mental disability, protected veteran status, status in the U.S. uniformed services, sexual orientation, gender identity or expression, marital status, genetic information or on any other basis which is protected under applicable federal, state or local law.

We sincerely appreciate and thank you for your interest in Sony Electronics Inc.

For a complete list of Sony Electronics Inc. Job Opportunities visit:

www.sonyjobs.com","$100K-$136K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1701&ao=445772&s=149&guid=0000016a34403ba28ece2fa7b8db1895&src=GD_JOB_VIEW&t=SRFJ&vt=w&cs=1_ddcd6653&cb=1555654787447&jobListingId=2829132881"
"Camera Software - Imaging and Computer Vision Research Engineer","Apple","Santa Clara, CA","Role Number:
200020297
The Computational Imaging team provides the innovative algorithms and image processing solutions for all of Apple’s awe-inspiring devices including iPhone, iPad, and iPod Touch. Combining ground breaking machine learning and computer vision techniques with next-generation hardware, our team takes the mobile photography experience to the next level. If you are passionate about finding and solving new problems in computer vision and image processing, we have the job for you.
Key Qualifications
Proven research and practical experience in developing computer vision, machine
learning and imaging algorithms for image processing, photography, and video quality
A deep understanding of machine learning and computer vision concepts
Possess shown experience identifying new industry problems and providing viable solutions to those problems
You should be proficient written and verbal communication skills
Ability to work in multi-functional teams
Ability to manage numerous projects and prioritize work accordingly
You should have strong coding skills in: C/C++
Experience with iOS or other mobile systems as a plus
Description
The Computational Imaging team is seeking extraordinary, driven, and innovative developers to work on special computer vision, machine learning and image processing solutions. Through crafting advanced imaging algorithms and forward-looking features on our team, you will contribute to existing and future iterations of Apple's products. You will collaborate daily with our team of engineers to build a new and dynamic vision of how we approach new problems. You will contribute directly to solving those problems using creative and unique algorithms.
Education & Experience
MS/PhD in Image Processing, Machine Learning, Computer Vision, Computer Science, or a related field is required
Additional Requirements
One or more of the following would be a plus:
Familiarity with common development and debugging tools for embedded/mobile applications.
Familiarity with camera systems and ISP processing pipeline.","$134K-$182K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=1702&ao=448831&s=149&guid=0000016a34403ba28ece2fa7b8db1895&src=GD_JOB_VIEW&t=SRFJ&vt=w&cs=1_2d23074a&cb=1555654799406&jobListingId=3088439935"
